CAS NO.,MLOGP2,F02[C-Cl],nROH,P-117,Mor25m,N%,X4v,O-058,LLS_01,H4v,SM12_AEA(dm),O-057
000117-81-7,29.446,0,0,0,-0.051,0,3.178,2,0.33,0.558,6.814,0
000118-44-5,10.301,0,0,0,0.478,3.8,1.57,0,0.83,0.083,3.806,0
000118-74-1,27.11,12,0,0,0.096,0,2.002,0,0.83,0,7.292,0
000118-79-6,14.171,0,0,0,-0.997,0,2.793,0,0.67,0.062,5.225,1
000118-83-2,12.821,2,0,0,0.521,5.9,1.067,0,0.83,0.09,6.07,0
000118-91-2,5.297,2,1,0,0.173,0,0.851,1,1,0.103,3.032,1
000118-96-7,5.563,0,0,0,-0.225,14.3,1.154,0,0.67,0.238,7.772,0
000119-12-0,8.823,0,0,0,0.691,5.1,2.679,1,0.33,0.344,6.378,0
000119-56-2,13.413,2,1,0,0.451,0,1.599,0,0.83,0.104,5.659,0
000119-61-9,12.867,0,0,0,0.311,0,1.346,1,0.83,0.131,3.594,0
000119-64-2,12.69,0,0,0,0.003,0,1.676,0,0.83,0.063,3.341,0
000119-93-7,9.3,0,0,0,0.373,6.3,1.711,0,0.67,0.222,7.422,0
000120-52-5,17.926,0,0,0,0.393,5,2.017,2,0.17,0.513,7.377,0
000120-54-7,3.77,0,0,0,-0.277,5,9.154,0,0.5,0.464,4.413,0
000120-71-8,2.496,0,0,0,0.339,4.8,0.854,0,1,0.102,3.695,0
000120-78-5,8.365,0,0,0,0.024,7.1,6.339,0,0.67,0.311,6.497,0
000120-83-2,7.446,4,0,0,0.249,0,0.89,0,1,0.043,3.52,1
000121-14-2,5.014,0,0,0,-0.091,10.5,0.908,0,0.67,0.158,4.758,0
000121-44-8,2.519,0,0,0,-0.027,4.5,0.671,0,1,0.057,0.791,0
000121-69-7,4.808,0,0,0,0.312,5,0.726,0,1,0.109,2.234,0
000121-82-4,1.963,0,0,0,-0.041,28.6,1.009,0,0.67,0.22,7.492,0
000121-92-6,2.672,0,1,0,0.156,5.9,0.753,1,0.67,0.088,3.46,1
000122-14-5,4.04,0,0,0,0.442,3.4,2.035,0,0.5,0.313,5.993,0
000122-34-9,5.165,0,0,0,-0.017,20,0.985,0,0.5,0.096,5.266,0
000123-31-9,0.798,0,0,0,0.393,0,0.453,0,1,0.022,2.275,2
000123-63-7,0.485,0,0,0,0.119,0,0.906,0,1,0.031,4.963,0
000123-91-1,0.224,0,0,0,0.045,0,0.44,0,1,0.026,2,0
000124-11-8,19.141,0,0,0,-0.163,0,0.892,0,0.67,0.161,1.598,0
000126-33-0,0.008,0,0,0,-0.071,0,2.238,2,1,0.037,1.464,0
000126-72-7,22.613,0,0,1,-0.953,0,3.643,1,0.33,0.367,5.894,0
000127-20-8,0.991,4,0,0,0.127,0,1.001,1,1,0.025,0.219,0
000127-27-5,21.516,0,1,0,-0.326,0,5.943,1,0.67,0.672,11.79,1
000127-90-2,16.019,10,0,0,0.592,0,1.02,0,0.5,0.246,4.568,0
000128-37-0,17.45,0,0,0,0.038,0,1.922,0,0.83,0.279,7.289,1
000129-00-0,22.653,0,0,0,0.583,0,2.67,0,0.83,0.154,6.571,0
000129-43-1,8.04,0,0,0,0.132,0,2.127,2,1,0.26,7.908,1
000131-09-9,11.672,2,0,0,0.22,0,2.244,2,0.83,0.273,7.798,0
000131-11-3,4.018,0,0,0,0.156,0,1.059,2,0.67,0.126,3.995,0
000131-52-2,15.278,10,0,0,0.252,0,2.706,0,0.83,0.966,7.292,0
000132-64-9,8.174,0,0,0,0.436,0,1.675,0,1,0.07,5.312,0
000133-06-2,3.317,0,0,0,-0.325,4.2,3.242,2,0.67,0.109,7.027,0
000134-32-7,6.954,0,0,0,0.467,5,1.25,0,1,0.058,3.731,0
000134-62-3,7.956,0,0,0,0.061,3.2,1.471,1,1,0.179,5.191,0
000135-88-6,18.306,0,0,0,0.743,3.3,1.955,0,0.83,0.214,5.964,0
000141-93-5,12.69,0,0,0,0.014,0,1.069,0,0.83,0.058,2.64,0
000142-96-1,5.17,0,0,0,-0.049,0,0.595,0,0.83,0.141,1.598,0
000143-50-0,23.079,23,0,0,-1.035,0,8.009,1,0.67,0.652,13.423,0
000144-19-4,1.941,0,2,0,-0.107,0,0.996,0,1,0.2,1.56,0
000149-30-4,3.129,0,0,0,0.029,6.7,1.968,0,0.83,0.008,4.312,0
000156-43-4,2.496,0,0,0,0.508,4.8,0.731,0,1,0.071,2.275,0
000206-44-0,22.653,0,0,0,0.586,0,2.743,0,0.83,0.126,7.333,0
000208-96-8,15.023,0,0,0,0.257,0,1.857,0,0.83,0.028,6.007,0
000226-36-8,21.941,0,0,0,0.822,2.9,3.322,0,0.83,0.361,7.955,0
000243-46-9,22.653,0,0,0,0.542,0,3.547,0,0.83,0.215,6.782,0
000260-49-6,9.309,0,0,0,0.558,4.3,1.72,0,0.83,0.104,5.215,0
000260-94-6,9.309,0,0,0,0.56,4.3,1.72,0,0.83,0.063,5.215,0
000271-89-6,3.365,0,0,0,0.25,0,0.906,0,1,0.009,3.237,0
000294-62-2,25.04,0,0,0,-0.05,0,2.121,0,0.83,0.178,3.464,0
000298-07-7,18.271,0,1,1,-0.19,0,3.106,1,0.17,0.452,6.745,0
000299-84-3,6.75,6,0,0,0.667,0,3.365,0,0.67,0.175,6.972,0
000309-00-2,29.906,14,0,0,-0.668,0,7.84,0,0.67,0.391,11.576,0
000314-40-9,3.233,0,0,0,-0.522,7.4,1.507,2,0.83,0.214,5.71,0
000315-18-4,3.426,0,0,0,0.09,5.9,1.839,1,0.83,0.263,5.386,0
000319-84-6,16.744,12,0,0,-0.654,0,3.381,0,0.83,0.331,7.292,0
000319-86-8,16.744,12,0,0,-0.654,0,3.381,0,0.83,0.331,7.292,0
000320-60-5,20.371,4,0,0,0.515,0,1.235,0,0.83,0.141,5.287,0
000328-84-7,20.371,4,0,0,0.697,0,0.971,0,0.83,0.046,4.626,0
000330-54-1,7,4,0,0,0.354,8.3,1.107,1,1,0.2,6.057,0
000333-41-5,6.369,0,0,0,0.099,5,2.345,0,0.33,0.299,6.368,0
000335-67-1,17.39,0,1,0,1.455,0,1.101,1,0.5,0.586,13.875,1
000335-76-2,26.23,0,1,0,1.455,0,1.495,1,0.5,1.023,15.904,1
000355-46-4,8.139,0,1,0,1.144,0,1.369,2,0.5,0.266,13.351,0
000461-58-5,0.845,0,0,0,-0.006,40,0.058,0,0.5,0.012,-0.796,0
000462-08-8,0.021,0,0,0,0.278,15.4,0.376,0,1,0.019,2.136,0
000471-74-9,21.516,0,1,0,-0.402,0,5.943,1,0.67,0.634,11.79,1
000471-77-2,21.516,0,1,0,-0.392,0,5.821,1,0.67,0.621,8.705,1
000492-97-7,8.972,0,0,0,-0.328,0,2.416,0,1,0,2.669,0
000493-01-6,19.638,0,0,0,-0.2,0,2.858,0,0.83,0.076,3.341,0
000493-02-7,19.638,0,0,0,-0.353,0,2.858,0,0.83,0.132,3.341,0
000504-03-0,2.397,0,0,0,-0.126,4.3,1.383,0,1,0.092,2.57,0
000504-29-0,0.445,0,0,0,0.236,15.4,0.376,0,1,0.008,2.136,0
000510-15-6,15.463,4,1,0,0.421,0,2.272,1,0.5,0.348,6.407,0
000514-10-3,21.516,0,1,0,-0.297,0,5.601,1,0.67,0.642,8.705,1
000526-73-8,10.62,0,0,0,0.06,0,0.898,0,0.83,0.099,3.178,0
000527-20-8,15.278,10,0,0,0.38,7.1,1.775,0,0.83,0.072,7.292,0
000527-60-6,6.299,0,0,0,0.078,0,1.172,0,1,0.116,5.225,1
000528-29-0,3.557,0,0,0,0.024,12.5,0.773,0,0.67,0.062,3.531,0
000534-52-1,3.055,0,0,0,-0.118,10,0.987,0,0.67,0.182,6.425,1
000541-73-1,12.094,4,0,0,0.246,0,0.896,0,0.83,0,2.57,0
000542-18-7,6.581,2,0,0,-0.149,0,1.361,0,1,0.052,2.136,0
000544-01-4,8.378,0,0,0,-0.149,0,0.74,0,0.83,0.191,3.058,0
000544-76-3,41.433,0,0,0,-0.361,0,2.268,0,0.67,0.385,3.212,0
000554-84-7,1.816,0,0,0,0.17,6.7,0.607,0,0.67,0.06,2.938,1
000555-03-3,2.893,0,0,0,0.222,5.6,0.724,0,0.83,0.09,3.027,0
000556-67-2,0.413,0,0,0,0.9,0,23.559,0,0.83,0.31,11.037,0
000563-04-2,29.945,0,0,1,1.382,0,3.687,1,0.33,0.427,7.472,0
000577-11-7,7.248,0,0,0,-0.365,0,4.317,3,0.33,0.902,6.884,0
000577-55-9,17.096,0,0,0,-0.076,0,1.562,0,0.83,0.105,3.531,0
000583-39-1,2.89,0,0,0,0.158,12.5,1.168,0,0.83,0.02,4.312,0
000583-53-9,14.401,0,0,0,0.452,0,1.009,0,0.83,0,2.938,0
000591-20-8,5.272,0,0,0,0.276,0,0.863,0,1,0.011,2.57,1
000591-27-5,0.798,0,0,0,0.384,6.7,0.525,0,1,0.027,2.57,1
000591-35-5,7.446,4,0,0,0.328,0,1.054,0,1,0.011,4.963,1
000603-11-2,2.048,0,2,0,0.064,5,1.095,2,0.67,0.22,5.631,2
000606-28-0,11.51,0,0,0,0.459,0,1.714,2,0.67,0.231,5.656,0
000607-99-8,16.406,0,0,0,0.695,0,3.306,0,0.67,0.051,5.225,0
000608-73-1,16.744,12,0,0,-0.825,0,3.381,0,0.83,0.573,7.292,0
000608-93-5,24.263,10,0,0,0.515,0,1.654,0,0.83,0,5.637,0
000610-39-9,5.014,0,0,0,-0.119,10.5,0.934,0,0.67,0.131,5.712,0
000611-06-3,9.673,4,0,0,0.294,7.1,1.107,0,0.83,0.082,4.287,0
000611-21-2,4.808,0,0,0,0.245,5,0.853,0,1,0.065,2.972,0
000612-22-6,6.626,0,0,0,0.095,5,0.988,0,1,0.1,3.154,0
000615-74-7,6.055,2,0,0,0.297,0,0.74,0,1,0.038,3.52,1
000616-44-4,2.503,0,0,0,-0.138,0,0.998,0,1,0.017,1.372,0
000618-62-2,9.673,4,0,0,0.137,7.1,1.159,0,0.83,0.045,4.963,0
000622-97-9,10.039,0,0,0,0.145,0,0.703,0,0.83,0.09,2.275,0
000626-17-5,1.97,0,0,0,0.344,14.3,0.658,0,1,0.071,2.64,0
000626-39-1,20.371,0,0,0,-1.053,0,2.922,0,0.67,0,4.963,0
000626-67-5,1.428,0,0,0,-0.019,5,1.052,0,1,0.071,2.136,0
000629-25-4,17.349,0,0,0,-0.291,0,1.886,1,0.67,0.446,3.28,0
000634-67-3,10.982,6,0,0,0.445,7.1,1.084,0,0.83,0.045,4.178,0
000634-83-3,13.085,8,0,0,0.489,7.1,1.409,0,0.83,0.043,5.637,0
000634-90-2,21.476,8,0,0,0.489,0,1.451,0,0.83,0,5.225,0
000634-91-3,10.982,6,0,0,0.489,7.1,1.188,0,0.83,0.015,5.225,0
000636-28-2,27.11,0,0,0,1.125,0,2.486,0,0.67,0,4.372,0
000636-30-6,10.982,6,0,0,0.279,7.1,1.093,0,0.83,0.043,4.372,0
000680-31-9,1.833,0,0,1,-0.048,10.3,3.22,1,0.83,0.164,4.179,0
000696-44-6,4.808,0,0,0,0.246,5,0.801,0,1,0.058,2.601,0
000732-26-3,24.083,0,0,0,-0.139,0,2.211,0,0.83,0.405,11.565,1
000760-23-6,6.047,3,0,0,-0.011,0,0.189,0,1,0.003,0,0
000764-13-6,9.232,0,0,0,-0.104,0,0.333,0,0.83,0.107,0.96,0
000767-00-0,1.336,0,0,0,0.329,7.1,0.536,0,1,0.045,2.275,1
000782-74-1,19.339,4,0,0,0.944,7.7,1.626,0,0.83,0.191,4.144,0
000789-02-6,38.02,7,0,0,0.495,0,3.011,0,0.67,0.255,7.21,0
000839-90-7,1.539,0,3,0,0.096,9.1,1.556,3,0.5,0.299,8.014,0
000842-18-2,0.203,0,0,0,-0.05,0,5.263,4,0.33,0.549,9.274,1
000877-10-1,27.11,8,0,0,-0.069,0,1.893,0,0.83,0.193,7.292,0
000877-11-2,27.11,10,0,0,0.025,0,1.948,0,0.83,0.078,7.292,0
000879-39-0,15.99,8,0,0,0.142,7.1,1.554,0,0.83,0.124,6.123,0
000920-66-1,2.519,0,1,0,0.612,0,0.186,0,1,0.17,2.206,0
000938-22-7,15.278,8,0,0,0.607,0,1.795,0,0.83,0,5.656,0
000938-86-3,15.278,8,0,0,0.564,0,1.56,0,0.83,0.019,5.851,0
000946-30-5,2.105,2,0,0,-0.302,5.6,2.578,2,0.67,0.179,6.687,0
000947-04-6,6.028,0,0,0,-0.196,2.7,1.964,1,1,0.248,3.57,0
000959-98-8,10.387,14,0,0,0.069,0,6.599,0,0.67,0.325,9.379,0
000961-11-5,19.896,7,0,1,0.638,0,2.663,1,0.33,0.206,7.718,0
000962-58-3,8.291,0,0,1,0.37,5,2.523,1,0.5,0.273,6.613,0
001014-70-6,5.165,0,0,0,0.155,17.2,1.278,0,0.5,0.151,5.886,0
001071-83-6,3.84,0,3,0,0.031,5.6,0.712,2,0.33,0.072,2.296,1
001141-38-4,5.831,0,2,0,0.384,0,1.512,2,0.67,0.245,7.464,2
001163-19-5,54.664,0,0,0,-3.689,0,7.795,0,0.67,0.372,8.103,0
001194-65-6,8.735,4,0,0,0.285,7.7,1.087,0,1,0.166,3.443,0
001241-94-7,27.127,0,0,1,0.73,0,3.683,1,0.33,0.498,6.824,0
001321-74-0,11.465,0,0,0,0.156,0,0.883,0,0.83,0.035,3.03,0
001330-78-5,29.945,0,0,1,0.8,0,3.843,1,0.33,0.43,8.587,0
001336-36-3,35.867,8,0,0,0.163,0,2.436,0,0.83,0.098,6.047,0
001490-04-6,6.262,0,1,0,-0.175,0,2.152,0,1,0.247,4.287,0
001502-22-3,7.967,0,0,0,-0.367,0,2.555,1,1,0.102,3.477,0
001570-64-5,6.055,2,0,0,0.203,0,0.846,0,1,0.038,3.52,1
001582-09-8,17.698,0,0,0,0.011,7.7,2.245,0,0.17,0.33,7.772,0
001631-58-9,0.668,0,0,0,0.055,5.3,3.607,0,1,0.056,1.646,0
001634-04-4,1.463,0,0,0,-0.019,0,0,0,1,0.048,-3,0
001634-78-2,0.296,0,0,1,-0.037,0,4.017,3,0.33,0.353,5.914,0
001687-30-5,0.531,0,2,0,-0.118,0,1.722,2,0.67,0.148,3.531,2
001746-01-6,16.737,8,0,0,0.989,0,2.191,0,0.67,0.215,7.532,0
001746-81-2,4.37,2,0,0,0.248,8,0.944,1,0.83,0.181,5.642,0
001763-23-1,15.048,0,1,0,1.515,0,1.764,2,0.33,0.677,15.593,0
001779-48-2,1.814,0,1,0,0.015,0,1.058,1,0.83,0.035,2.234,0
001825-21-4,17.554,10,0,0,-0.032,0,2.039,0,0.83,0.047,7.292,0
001825-31-6,20.2,4,0,0,0.299,0,1.681,0,0.83,0.095,4.657,0
001836-75-5,16.321,4,0,0,0.628,4,1.768,0,0.67,0.21,6.742,0
001843-05-6,33.203,0,0,0,0.299,0,2.611,1,0.5,0.522,6.481,1
001897-45-6,9.814,8,0,0,0.37,14.3,1.9,0,0.83,0.348,7.478,0
001912-24-9,6.707,0,0,0,-0.022,17.9,1.07,0,0.5,0.126,5.362,0
001918-16-7,7.956,1,0,0,0.277,3.6,1.512,1,1,0.057,4.465,0
001945-53-5,21.516,0,1,0,-0.433,0,5.572,1,0.67,0.627,8.705,1
002042-14-0,2.893,0,0,0,0.12,5.6,0.794,0,0.67,0.095,4.726,1
002050-68-2,24.476,4,0,0,0.32,0,1.537,0,0.83,0.082,5.89,0
002050-74-0,20.2,4,0,0,0.179,0,1.867,0,0.83,0.209,5.347,0
002050-75-1,20.2,4,0,0,0.382,0,1.529,0,0.83,0.024,4.899,0
002051-60-7,19.499,2,0,0,0.315,0,1.558,0,0.83,0.019,3.477,0
002051-62-9,19.499,2,0,0,0.318,0,1.399,0,0.83,0.05,4.39,0
002058-94-8,30.998,0,1,0,1.537,0,1.692,1,0.5,1.111,16.597,1
002104-64-5,11.494,0,0,0,0.453,2.9,4.225,0,0.17,0.433,6.802,0
002173-57-1,14.024,0,0,0,0.502,0,1.52,0,0.83,0.189,5.041,0
002198-77-8,20.2,4,0,0,0.411,0,1.55,0,0.83,0.024,5.634,0
002212-67-1,2.494,0,0,0,-0.117,3.4,2.08,1,1,0.156,3.052,0
002216-51-5,6.262,0,1,0,-0.175,0,2.152,0,1,0.247,4.287,0
002234-13-1,42.931,16,0,0,0.054,0,3.636,0,0.67,0.351,8.567,0
002243-62-1,4.097,0,0,0,0.501,9.1,1.359,0,0.83,0.103,3.829,0
002255-17-6,5.657,0,0,1,0.297,3.4,1.838,1,0.5,0.298,6.698,0
002310-17-0,3.032,2,0,0,0.653,2.8,6.146,1,0.33,0.359,7.083,0
002437-79-8,35.867,8,0,0,0.165,0,2.436,0,0.83,0.098,6.047,0
002460-49-3,5.92,4,0,0,0.336,0,0.993,0,1,0.018,4.519,1
002463-84-5,5.189,2,0,0,0.435,3.8,2.153,0,0.5,0.347,7.581,0
002497-06-5,0.511,0,0,0,0.127,0,7.255,2,0.33,0.359,2.803,0
002498-66-0,13.905,0,0,0,0.227,0,2.864,2,0.83,0.243,8.019,0
002531-84-2,21.047,0,0,0,0.4,0,2.133,0,0.83,0.186,5.76,0
002539-17-5,9.168,8,0,0,0.492,0,1.689,0,0.83,0.083,7.292,1
002581-34-2,2.893,0,0,0,0.121,5.6,0.844,0,0.67,0.108,4.287,1
002631-40-5,4.451,0,0,0,0.271,3.4,1.201,1,1,0.15,4.702,0
002636-26-2,2.165,0,0,0,0.295,4,1.805,0,0.67,0.332,6.145,0
002655-14-3,3.306,0,0,0,0.151,3.8,1.15,1,1,0.15,4.963,0
002668-24-8,7.488,6,0,0,0.544,0,1.3,0,1,0.056,5.851,1
002691-41-0,5.556,0,0,0,0.132,28.6,1.346,0,0.5,0.345,8.142,0
002719-61-1,43.145,0,0,0,-0.157,0,2.533,0,0.67,0.363,3.738,0
002814-20-2,2.918,0,0,0,0.189,8.7,0.833,0,1,0.027,4.963,1
