CAS NO.,MLOGP2,F02[C-Cl],nROH,P-117,Mor25m,N%,X4v,O-058,LLS_01,H4v,SM12_AEA(dm),O-057
002861-02-1,2.369,0,2,0,0.223,5.3,4.155,6,0.33,0.684,11.762,2
003229-00-3,17.665,0,0,0,-0.261,0,5.786,0,0.67,0.399,0.828,0
003268-87-9,25.318,16,0,0,1.141,0,3.542,0,0.67,0.254,8.254,0
003296-90-0,1.941,0,2,0,-0.331,0,1.893,0,1,0.204,0.828,0
003383-96-8,11.048,0,0,0,0.828,0,4.519,0,0.17,0.741,7.827,0
003481-20-7,13.085,8,0,0,0.542,7.1,1.416,0,0.83,0.073,5.637,0
003761-42-0,2.634,0,0,0,0.391,0,3.26,2,0.33,0.32,7.442,0
003766-81-2,5.716,0,0,0,0.311,3.1,1.351,1,0.83,0.19,4.988,0
003811-49-2,1.695,0,0,0,0.533,0,2.445,0,1,0.213,4.436,0
003864-99-1,23.886,2,0,0,0.184,6.1,2.938,0,0.5,0.575,10.175,1
004101-68-2,32.124,0,0,0,-0.139,0,1.871,0,0.5,0.305,2.674,0
004333-56-6,2.671,0,0,0,0.055,0,0,0,1,0,-3,0
004390-04-9,41.433,0,0,0,-0.146,0,3.569,0,0.67,0.361,9.299,0
004883-72-1,1.225,0,1,0,-0.247,9.1,1.379,0,0.83,0.121,2.518,0
005103-71-9,29.906,18,0,0,-0.291,0,7.46,0,0.67,0.369,10.534,0
005124-25-4,9.86,0,0,0,0.444,7.3,3.411,2,0.17,0.538,7.091,0
005428-54-6,2.893,0,0,0,0.093,5.6,0.711,0,0.67,0.124,3.541,1
005510-99-6,15.375,0,0,0,-0.043,0,1.815,0,0.67,0.211,4.726,1
005707-44-8,19.46,0,0,0,0.155,0,1.564,0,0.83,0.182,4.486,0
005835-26-7,21.516,0,1,0,-0.378,0,5.864,1,0.67,0.653,11.79,1
005902-51-2,2.725,2,0,0,0.033,7.4,1.363,2,0.83,0.281,6.278,0
006130-75-2,13.085,6,0,0,0.394,0,1.275,0,0.83,0.019,4.519,0
006165-51-1,24.176,0,0,0,0.167,0,2.148,0,0.83,0.194,5.662,0
006639-30-1,19.064,6,0,0,0.223,0,1.223,0,0.83,0.049,4.372,0
006731-36-8,14.936,0,0,0,-0.524,0,2.963,0,0.33,0.348,9.955,0
006936-40-9,15.278,8,0,0,0.705,0,1.677,0,0.83,0,5.971,0
007012-37-5,29.937,6,0,0,0.242,0,1.997,0,0.83,0.084,5.947,0
007267-11-0,12.153,4,2,0,0.093,0,2.337,2,0.5,0.235,7.789,2
009014-90-8,8.754,0,0,0,0.194,0,4.139,2,0.33,0.956,6.381,0
010319-14-9,8.809,0,0,0,0.428,3,3.51,2,0.5,0.459,8.799,1
010541-83-0,2.148,0,1,0,0.324,5,0.779,1,1,0.156,2.948,1
010605-21-7,1.106,0,0,0,0.252,13,1.16,1,0.67,0.108,4.996,0
012002-48-1,16.507,6,0,0,0.483,0,1.001,0,0.83,0,3.178,0
013029-08-8,24.476,4,0,0,0.133,0,1.834,0,0.83,0.022,4.072,0
013071-79-9,4.479,0,0,0,0.207,0,8.203,0,0.67,0.302,2.767,0
013116-53-5,8.746,6,0,0,-0.433,0,0.321,0,1,0.053,0.286,0
013358-11-7,18.016,0,0,0,-0.369,1.7,5.645,2,0.5,0.626,10.302,0
013540-50-6,21.786,0,0,0,0.122,0,1.806,0,0.83,0.173,5.629,0
013674-87-8,16.201,6,0,1,-0.095,0,4.502,1,0.33,0.622,6.685,0
013684-56-5,4.354,0,0,0,0.604,5.3,1.694,2,0.33,0.359,6.616,0
014233-37-5,10.438,0,0,0,0.205,4.3,3.085,2,0.33,0.475,8.739,0
015087-24-8,14.697,0,0,0,0.273,0,3.823,1,0.83,0.295,8.786,0
015258-73-8,7.717,4,1,0,0.216,0,1.2,0,1,0.129,3.443,0
015862-07-4,29.937,6,0,0,0.488,0,2.017,0,0.83,0.066,5.657,0
015883-57-5,0.203,0,0,0,-0.276,0,4.365,4,0.33,0.435,9.225,1
016219-75-3,8.783,0,0,0,-0.049,0,1.987,0,1,0.046,4.173,0
016606-02-3,29.937,6,0,0,0.335,0,1.873,0,0.83,0.053,5.803,0
016766-31-7,5.92,4,0,0,0.401,0,1.173,0,1,0.076,5.62,1
017348-59-3,3.765,0,0,0,-0.091,0,0.707,0,1,0.076,-1.029,0
018708-70-8,13.655,6,0,0,0.148,7.1,1.664,0,0.83,0.221,5.225,0
019044-88-3,3.842,0,0,0,-0.404,9.8,2.773,2,0.33,0.35,7.772,0
019408-74-3,20.902,12,0,0,1.328,0,2.907,0,0.67,0.235,8.016,0
019666-30-9,16.237,4,0,0,0.238,5,2.266,1,0.33,0.496,8.665,0
021564-17-0,5.035,0,0,0,0.318,10,3.667,0,0.83,0.177,4.312,0
021609-90-5,21.339,4,0,0,0.336,0,4.339,0,0.5,0.335,7.149,0
022224-92-6,14.039,0,0,1,0.232,2.4,3.751,1,0.17,0.422,6.47,0
023135-22-0,0.214,0,0,0,-0.105,11.1,0.952,2,0.5,0.17,4.959,0
024157-81-1,24.994,0,0,0,0.087,0,2.001,0,0.83,0.305,7.464,0
024423-11-8,23.578,2,0,0,0.439,0,2.164,0,0.83,0.07,5.76,0
025057-89-0,2.416,0,0,0,-0.105,7.1,3.113,3,0.67,0.308,7.553,0
025154-52-3,25.901,0,0,0,0.031,0,1.949,0,0.67,0.339,3.723,1
025167-93-5,6.293,2,0,0,0.226,7.1,0.805,0,1,0.084,3.032,0
025265-71-8,0.017,0,2,0,0.125,0,0.409,0,0.83,0.076,2,0
025311-71-1,9.442,0,0,0,0.305,2.2,4.458,1,0.33,0.429,6.161,0
025394-13-2,0.868,0,0,0,0.114,5.3,5.016,4,0.17,0.527,7.846,0
025637-99-4,39.646,0,0,0,-0.296,0,10.667,0,0.67,0.88,6.847,0
025638-17-9,9.511,0,0,0,-0.169,0,3.545,2,0.67,0.43,6.71,0
026087-47-8,7.844,0,0,1,0.417,0,5.353,1,0.67,0.324,5.138,0
026444-49-5,25.218,0,0,1,1.295,0,3.373,1,0.33,0.335,7.008,0
026898-17-9,34.194,0,0,0,0.334,0,2.714,0,0.67,0.297,6.788,0
026914-33-0,35.867,8,0,0,0.408,0,2.191,0,0.83,0.027,5.742,0
027314-13-2,8.392,2,0,0,0.636,10.3,1.828,1,0.67,0.269,8.407,0
028106-30-1,12.054,0,0,0,0.1,0,0.889,0,0.83,0.105,2.275,0
028575-17-9,24.176,0,0,0,0.13,0,1.942,0,0.83,0.184,6.331,0
028680-45-7,20.091,12,0,0,-0.177,0,3.527,0,0.67,0.367,6.65,0
029082-74-4,37.913,14,0,0,0.575,0,2.694,0,0.67,0.184,7.292,0
029091-21-2,11.962,0,0,0,0.007,9.8,2.405,0,0.17,0.437,8.484,0
029761-21-5,31.924,0,0,1,0.59,0,3.909,1,0.33,0.541,6.573,0
030746-58-8,16.737,8,0,0,1.152,0,2.508,0,0.67,0.175,7.616,0
031508-00-6,38.839,10,0,0,0.626,0,2.361,0,0.67,0.096,7.531,0
031604-28-1,30.979,8,0,0,0.003,0,2.446,0,0.83,0.029,6.375,0
032598-14-4,38.839,10,0,0,0.416,0,2.355,0,0.67,0.079,7.551,0
032669-06-0,15.209,1,0,0,0.314,0,1.892,0,0.67,0.114,4.016,0
032774-16-6,41.857,12,0,0,0.826,0,2.637,0,0.67,0.079,8.058,0
032861-85-1,12.309,4,0,0,0.483,3.4,2.004,0,0.17,0.354,6.825,0
033423-92-6,16.737,8,0,0,0.962,0,2.67,0,0.67,0.179,6.315,0
033576-92-0,2.87,0,0,0,0.526,0,1.696,0,0.83,0.214,3.067,0
033857-26-0,9.3,4,0,0,0.817,0,1.853,0,0.83,0.15,5.989,0
033979-03-2,41.857,12,0,0,-0.032,0,3.574,0,0.67,0.144,6.163,0
034883-41-5,24.476,4,0,0,0.381,0,1.877,0,0.83,0.018,4.963,0
034883-43-7,24.476,4,0,0,0.256,0,1.696,0,0.83,0.051,5.371,0
035065-27-1,41.857,12,0,0,0.433,0,2.755,0,0.67,0.122,7.589,0
035065-28-2,41.857,12,0,0,0.626,0,2.749,0,0.67,0.099,7.627,0
035367-38-5,12.307,2,0,0,0.318,6.7,1.702,2,0.5,0.372,6.288,0
035693-99-3,35.867,8,0,0,0.389,0,2.191,0,0.83,0.027,5.742,0
035694-06-5,41.857,12,0,0,0.557,0,2.891,0,0.67,0.092,6.955,0
035694-08-7,48.018,16,0,0,0.676,0,3.345,0,0.67,0.088,8.377,0
035860-37-8,32.633,0,0,0,-0.081,0,2.776,0,0.83,0.366,7.96,0
036065-30-2,31.286,0,0,0,-1.193,0,3.692,0,0.67,0.251,5.933,0
036335-67-8,9.97,0,0,0,0.201,4.8,4.34,0,0.17,0.398,6.154,0
036734-19-7,4.034,4,0,0,-0.159,8.8,2.422,3,0.5,0.221,7.138,0
037680-73-2,38.839,10,0,0,0.418,0,2.473,0,0.67,0.074,6.668,0
038380-01-7,38.839,10,0,0,0.327,0,2.596,0,0.67,0.11,6.815,0
038380-02-8,38.839,10,0,0,0.493,0,2.467,0,0.67,0.051,6.359,0
038380-07-3,41.857,12,0,0,0.831,0,2.742,0,0.67,0.075,7.723,0
038411-22-2,41.857,12,0,0,0.592,0,2.947,0,0.67,0.031,6.778,0
038444-93-8,35.867,8,0,0,0.613,0,2.228,0,0.83,0.017,6.297,0
038640-62-9,24.994,0,0,0,0.076,0,2.177,0,0.83,0.215,6.919,0
038964-22-6,9.3,4,0,0,0.943,0,1.909,0,0.83,0.069,6.077,0
039227-28-6,20.902,12,0,0,1.097,0,2.866,0,0.67,0.239,7.905,0
039227-58-2,12.771,6,0,0,1.002,0,2.245,0,0.83,0.145,7.409,0
039227-61-7,18.786,10,0,0,1.098,0,2.697,0,0.67,0.208,7.636,0
039485-83-1,38.839,10,0,0,0.125,0,3.015,0,0.67,0.122,6.106,0
040186-72-9,51.159,18,0,0,0.485,0,3.835,0,0.67,0.108,8.508,0
040321-76-4,18.786,10,0,0,1.136,0,2.549,0,0.67,0.227,7.756,0
040487-42-1,12.577,0,0,0,-0.096,7.7,2.093,0,0.33,0.398,7.149,0
041122-70-7,23.052,0,0,0,0.133,2.4,2.357,0,0.67,0.534,6.695,0
041464-40-8,35.867,8,0,0,0.279,0,2.314,0,0.83,0.062,5.857,0
041464-51-1,38.839,10,0,0,0.594,0,2.492,0,0.67,0.07,7.195,0
042240-73-3,16.737,8,0,0,0.414,7.7,2.422,0,0.5,0.346,7.723,0
042740-50-1,48.018,16,0,0,0.696,0,3.58,0,0.67,0.113,8.141,0
042874-03-3,16.979,2,0,0,0.832,2.9,2.086,0,0.17,0.478,8.736,0
050375-10-5,13.085,6,0,0,0.323,0,1.369,0,0.83,0.046,4.344,0
050512-35-1,3.332,0,0,0,-0.035,0,3.744,2,0.5,0.238,6.14,0
050853-70-8,1.57,0,2,0,-0.013,0,2.868,2,0.67,0.147,7.078,2
051218-45-2,9.155,1,0,0,0.098,2.4,2.45,1,0.67,0.289,5.546,0
051630-58-1,23.353,2,0,0,0.63,1.9,3.313,1,0.33,0.682,7.607,0
051908-16-8,41.857,12,0,0,0.617,0,2.834,0,0.67,0.072,7.263,0
052315-07-8,15.264,2,0,0,0.487,2.1,3.3,1,0.33,0.725,7.634,0
052341-33-0,20.97,2,0,0,0.47,0,3.143,1,0.5,0.553,7.008,0
052645-53-1,20.97,2,0,0,0.519,0,3.143,1,0.5,0.504,7.008,0
052663-58-8,35.867,8,0,0,0.257,0,2.281,0,0.83,0.057,6.192,0
052663-63-5,41.857,12,0,0,0.326,0,2.896,0,0.67,0.028,7.063,0
052663-69-1,44.917,14,0,0,0.348,0,3.285,0,0.67,0.13,7.752,0
052663-77-1,51.159,18,0,0,0.867,0,3.943,0,0.67,0.078,7.762,0
052663-78-2,48.018,16,0,0,0.601,0,3.532,0,0.67,0.102,8.199,0
052712-04-6,41.857,12,0,0,0.477,0,2.768,0,0.67,0.056,6.852,0
052820-00-5,16.93,0,0,0,1.214,2.1,3.598,1,0.33,0.787,7.634,0
052918-63-5,16.93,0,0,0,1.429,2.1,3.598,1,0.33,0.823,7.634,0
053555-64-9,30.979,8,0,0,0.133,0,2.403,0,0.83,0.092,6.251,0
054135-80-7,13.085,6,0,0,0.519,0,1.27,0,0.83,0.024,4.31,0
054135-82-9,13.085,6,0,0,0.572,0,1.226,0,0.83,0.02,5.225,0
055283-68-6,16.946,0,0,0,-0.107,8.1,2.045,0,0.17,0.337,7.772,0
055512-33-9,26.877,1,0,0,0.215,4.2,3.184,1,0.17,0.528,6.05,0
055720-37-1,25.344,6,0,0,0.276,0,1.986,0,0.83,0.058,5.796,0
056348-72-2,24.72,8,0,0,0.848,0,1.793,0,0.67,0.155,6.982,0
056425-91-3,4.778,0,1,0,0.643,5.4,2.24,0,0.5,0.486,7,0
057117-31-4,27.197,10,0,0,0.545,0,2.764,0,0.67,0.157,7.839,0
057117-39-2,24.72,8,0,0,0.393,0,2.447,0,0.67,0.16,7.632,0
057117-43-8,27.197,10,0,0,0.529,0,2.811,0,0.67,0.175,8.052,0
057117-44-9,29.732,12,0,0,0.583,0,3.201,0,0.67,0.205,8.231,0
057465-28-8,38.839,10,0,0,0.642,0,2.292,0,0.67,0.08,7.605,0
057567-84-7,1.095,0,2,0,-0.247,0,1.949,2,0.67,0.136,5.712,2
057837-19-1,3.636,0,0,0,0.147,2.4,2.189,2,0.67,0.338,6.533,0
058138-08-2,16.429,7,0,0,0.201,0,2.685,0,0.67,0.202,7.384,0
058200-66-1,20.902,12,0,0,1.199,0,2.914,0,0.67,0.158,7.923,0
059080-33-0,34.143,0,0,0,0.742,0,4.139,0,0.67,0.295,5.225,0
059261-08-4,51.159,0,0,0,-1.446,0,6.872,0,0.67,0.174,6.163,0
059365-60-5,2.654,2,2,0,0.151,0,1.105,0,1,0.075,3.068,0
059669-26-0,0.268,0,0,0,-0.591,10.3,1.438,2,0.33,0.414,5.894,0
059722-76-8,9.394,0,0,0,0.782,2.6,3.253,2,0.33,0.595,8.603,1
060168-88-9,13.101,4,1,0,0.401,5.9,2.808,0,0.67,0.293,6.816,0
060782-58-3,24.887,0,1,0,0.044,0,6.492,0,0.5,0.554,3.506,0
060851-34-5,29.732,12,0,0,0.644,0,3.128,0,0.67,0.174,8.399,0
061949-76-6,20.97,2,0,0,0.373,0,3.143,1,0.5,0.559,7.008,0
066332-96-5,17.465,0,0,0,0.889,2.6,2.046,1,0.5,0.334,7.775,0
066735-04-4,12.208,0,1,0,-0.091,0,1.582,1,0.67,0.336,6.496,1
067028-18-6,16.737,8,0,0,1.121,0,2.38,0,0.67,0.194,7.431,0
067375-30-8,15.264,2,0,0,0.539,2.1,3.3,1,0.33,0.699,7.634,0
068085-85-8,17.784,2,0,0,0.629,2,3.281,1,0.33,0.679,9.233,0
068194-07-0,38.839,10,0,0,0.55,0,2.674,0,0.67,0.059,6.167,0
068194-17-2,48.018,16,0,0,0.488,0,3.618,0,0.67,0.075,7.677,0
068359-37-5,18.311,2,0,0,0.731,2.1,3.311,1,0.33,0.659,8.409,0
069806-40-2,11.626,2,0,0,1.077,2.6,1.976,1,0.33,0.505,8.178,0
070362-47-9,35.867,8,0,0,0.356,0,2.295,0,0.83,0.073,6.494,0
070648-26-9,29.732,12,0,0,0.502,0,3.159,0,0.67,0.203,7.915,0
071441-80-0,5.279,0,1,0,-0.295,2,3.862,1,0.33,0.375,5.999,1
072178-02-0,7.987,2,0,0,0.335,5.3,2.696,3,0.33,0.585,9.919,0
072490-01-8,5.604,0,0,0,0.723,2.4,1.733,1,0.5,0.397,6.066,0
074472-35-8,38.839,10,0,0,0.399,0,2.796,0,0.67,0.08,6.424,0
074472-41-6,41.857,12,0,0,0.458,0,3.255,0,0.67,0.084,6.252,0
075627-02-0,29.732,12,0,0,0.405,0,3.37,0,0.67,0.229,7.728,0
076253-60-6,41.857,8,0,0,0.271,0,2.769,0,0.67,0.338,6.494,0
076745-12-5,35.867,8,0,0,0.783,0,2.84,0,0.67,0.174,6.982,0
077501-63-4,17.797,2,0,0,0.899,2.2,2.539,2,0.17,0.635,8.745,0
079060-60-9,29.732,12,0,0,0.494,0,3.207,0,0.67,0.224,8.215,0
081405-85-8,7.628,0,0,0,-0.02,4.9,2.207,2,0.5,0.424,7.365,0
081777-89-1,7.164,2,0,0,0.043,3.3,1.792,1,1,0.217,6.993,0
082657-04-3,29.164,2,0,0,0.34,0,3.565,1,0.5,0.556,10.456,0
084852-15-3,25.901,0,0,0,0.031,0,1.949,0,0.67,0.339,3.723,1
092341-06-5,29.732,12,0,0,0.463,0,3.307,0,0.67,0.244,8.01,0
096182-53-5,3.934,0,0,0,0.445,4.7,3.807,0,0.5,0.418,6.867,0
098886-44-3,0.41,0,0,1,-0.218,2.9,7.613,2,0.5,0.321,5.577,0
104098-48-8,6.585,0,0,0,-0.275,2.7,1.899,1,0.83,0.198,5.051,0
109293-97-2,3.763,0,1,0,0.346,11.1,1.839,2,0.33,0.286,6.674,1
112226-61-6,19.003,2,0,0,0.324,4.8,2.126,2,0.33,0.406,8.504,0
117718-60-2,13.202,0,0,0,0.072,4.7,3.599,1,0.17,0.482,9.315,0
121552-61-2,9.24,0,0,0,0.396,9.4,1.804,0,0.83,0.165,6.597,0
123251-96-7,1.008,4,2,0,0.613,5.9,3.824,4,0.33,0.431,9.31,0
138261-41-3,2.611,1,0,0,-0.019,18.5,1.682,0,0.67,0.165,5.769,0
141517-21-7,16.781,0,0,0,0.59,4.2,2.433,1,0.17,0.587,8.565,0
188425-85-6,15.234,3,0,0,0.487,5.7,2.549,1,0.67,0.36,6.73,0
BCF000-0N-1,38.131,0,0,0,0.828,0,3.699,0,0.5,0.824,11.149,0
BCF000-0N-5,31.158,0,0,0,0.348,0,1.859,0,0.67,0.371,6.293,0
BCF000-0N-7,3.628,0,1,0,0.394,0,3.574,0,0.33,0.566,3.869,0