CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
001129-41-5,1,0,8.7,-0.052,1.227,0.795,3,0.889,0,0,0,0,0,0
000138-86-3,0,0,0,0,1.25,0,2.5,1.333,0,1,0,0,0,0
000099-82-1,0,0,0,0,1.45,1.243,2.5,1.333,0,2,0,0,0,0
000101-83-7,1,0,0,0.034,1.372,0.986,1.5,0.444,0,0,0,0,0,0
000101-43-9,0,0,7.1,0.012,1.406,0.978,2.5,1.111,0,0,1,0,0,0
031906-04-4,0,0,5.4,-0.049,1.324,1.256,4.5,1.333,0,1,0,0,1,0
000108-94-1,0,0,5.9,0,1.33,0,1,0.444,0,0,0,0,4,0
000563-04-2,0,1,8.5,-0.207,1.477,0.431,7.5,2,0,0,0,0,0,0
000104-87-0,0,0,5.9,0,0.998,0,2,0.889,0,0,0,0,0,0
001745-81-9,0,0,5,-0.108,0.958,0.757,1.5,1.111,0,0,0,0,0,0
000099-63-8,0,2,12.5,0,0.639,0,3,1.556,0,0,2,0,0,0
000057-11-4,0,0,3.6,-0.038,1.512,0.965,1.5,0.444,0,0,1,0,2,0
000092-52-4,0,0,0,0.036,0.837,0.906,1,0.889,0,0,0,0,0,0
000132-29-6,0,1,8.3,-0.21,1.388,0.827,5,2.222,0,0,0,0,0,0
000482-05-3,0,0,14.3,-0.118,0.789,0.918,3,2.222,0,0,2,0,0,0
000135-19-3,0,0,5.3,-0.118,0.758,0,2,1.111,0,0,0,0,0,0
000063-25-2,1,0,7.7,-0.047,1.012,1.043,2.5,1.556,0,0,0,0,0,0
000086-55-5,0,0,9.5,-0.087,0.777,0.293,2,1.556,0,0,1,0,0,0
000080-56-8,0,0,0,0.059,1.204,0,3.5,2.222,1,2,0,0,0,0
000084-65-1,0,0,8.3,0,0.757,1.236,2,2.222,0,0,0,0,0,0
000057-57-8,0,0,22.2,-0.074,1.509,0,1,0.333,0,0,1,0,2,0
000087-41-2,0,0,12.5,-0.024,0.97,0,1.5,1.333,0,0,1,0,0,0
000098-00-0,0,0,15.4,-0.151,1.161,0,1,0.444,0,0,0,1,0,0
000109-99-9,0,0,7.7,0.026,1.627,0,0,0,0,0,0,0,0,1
000097-99-4,0,0,11.8,-0.088,1.563,0,1,0.444,0,0,0,0,0,1
000517-23-7,0,0,17.6,-0.03,1.426,0,2,1.333,0,1,1,0,4,0
000085-41-6,1,0,12.5,-0.073,0.806,0,2,1.556,0,0,2,0,0,0
000120-72-9,1,0,0,-0.085,0.81,0,1,0.889,0,0,0,1,0,0
000520-45-6,0,0,20,-0.033,1.264,1.429,3.5,1.556,0,1,1,0,4,0
000120-57-0,0,0,17.6,-0.068,1.116,0.014,2,1.111,0,0,0,2,0,0
000096-49-1,0,0,30,-0.176,1.851,0,1,0.444,0,0,0,0,0,0
001120-71-4,0,1,23.1,0.145,1.761,0,2.5,0.889,0,0,0,0,0,1
000091-64-5,0,0,11.8,-0.023,0.923,0.014,2,1.111,0,0,1,0,0,0
000109-00-2,1,0,8.3,-0.185,0.96,0,1,0.444,0,0,0,0,0,0
000499-83-2,1,0,23.5,-0.243,0.905,0.747,3,1.556,0,0,2,0,0,0
000828-00-2,0,0,15.4,-0.04,1.765,1.061,4,0.667,0,0,1,2,3,2
000067-52-7,2,0,23.1,-0.551,0.964,0,3,0.667,0,0,0,0,0,0
000100-97-0,4,0,0,0.022,1.788,0,3,0,0,0,0,12,0,0
000096-54-8,1,0,0,0.137,1.282,0,1,0.444,0,0,0,2,0,0
000072-87-7,1,0,20,-0.241,1.425,0.77,4,2.222,0,0,1,0,3,0
000056-40-6,1,0,20,-0.36,1.423,0,1.5,0.444,0,0,1,0,0,0
000107-10-8,1,0,7.7,-0.007,1.635,0,0.5,0.222,0,0,1,0,0,0
000087-99-0,0,0,22.7,-0.326,1.501,0.01,2.5,1.778,0,0,0,0,0,0
000987-78-0,4,2,19.3,-0.334,1.96,0.732,11.5,4.444,0,0,1,2,0,4
000104-42-7,1,0,0,-0.106,1.277,0.949,2,0.889,0,0,0,0,0,0
000066-72-8,1,0,14.3,-0.173,1.056,0.208,2.5,2,0,0,0,0,3,0
000093-55-0,0,0,5,0,1.054,0.652,1.5,1.111,0,0,0,0,2,0
000150-30-1,1,0,8.7,-0.154,0.951,0.76,2.5,1.111,0,0,1,0,0,0
000091-01-0,0,0,3.8,-0.096,0.854,1.044,1.5,1.333,0,0,0,0,0,0
000111-01-3,0,0,0,-0.023,1.533,1.207,6.5,2.444,0,0,0,0,0,0
003234-85-3,0,0,2.3,0.028,1.555,0.975,1.5,0.667,0,0,1,0,2,0
000107-95-9,1,0,15.4,-0.255,1.439,0,1.5,0.444,0,0,1,0,2,0
000056-85-9,2,0,15,-0.256,1.255,0.062,3,1.333,0,0,2,0,2,0
000095-65-8,0,0,5.3,-0.107,1.02,0,2.5,1.333,0,0,0,0,0,0
000098-85-1,0,0,5.3,-0.107,1.02,0,1.5,0.889,0,0,0,0,0,0
000112-30-1,0,0,3,-0.07,1.576,0.907,0.5,0.222,0,0,0,0,0,0
000120-32-1,0,1,3.8,-0.083,0.74,1.138,3,1.333,0,0,0,0,0,0
006915-15-7,0,0,33.3,-0.358,1.3,0,3,1.111,0,0,2,0,2,0
000074-11-3,0,1,13.3,-0.119,0.668,0,2.5,1.333,0,0,1,0,0,0
000099-07-0,1,0,4.8,-0.085,1.2,0,2.5,1.111,0,0,0,0,0,0
000107-87-9,0,0,6.3,-0.002,1.596,0,1.5,0.444,0,0,0,0,5,0
000111-26-2,1,0,0,-0.183,1.592,0.402,0.5,0.222,0,0,0,0,0,0
000111-90-0,0,0,13,-0.075,1.971,1.396,0.5,0.222,0,0,0,0,0,2
000526-75-0,0,0,5.3,-0.107,1.02,0.344,2,1.556,0,0,0,0,0,0
000593-08-8,0,0,2.5,-0.006,1.537,0.934,1.5,0.444,0,0,0,0,5,0
000627-30-5,0,1,8.3,-0.134,1.07,0,0.5,0.222,0,0,0,0,0,0
000050-00-0,0,0,25,-0.036,1.98,0,0,0,0,0,0,0,0,0
000638-67-5,0,0,0,-0.03,1.543,0.973,0.5,0.222,0,0,0,0,0,0
000629-94-7,0,0,0,-0.033,1.548,0.969,0.5,0.222,0,0,0,0,0,0
004181-95-7,0,0,0,-0.017,1.525,0.986,0.5,0.222,0,0,0,0,0,0
000629-62-9,0,0,0,-0.046,1.567,0.951,0.5,0.222,0,0,0,0,0,0
000630-01-3,0,0,0,-0.026,1.538,0.976,0.5,0.222,0,0,0,0,0,0
000629-92-5,0,0,0,-0.036,1.553,0.965,0.5,0.222,0,0,0,0,0,0
007194-84-5,0,0,0,-0.018,1.527,0.985,0.5,0.222,0,0,0,0,0,0
000629-50-5,0,0,0,-0.054,1.577,0.939,0.5,0.222,0,0,0,0,0,0
000630-07-9,0,0,0,-0.019,1.529,0.984,0.5,0.222,0,0,0,0,0,0
000630-06-8,0,0,0,-0.019,1.528,0.984,0.5,0.222,0,0,0,0,0,0
000629-99-2,0,0,0,-0.027,1.54,0.975,0.5,0.222,0,0,0,0,0,0
000630-02-4,0,0,0,-0.024,1.536,0.979,0.5,0.222,0,0,0,0,0,0
000646-31-1,0,0,0,-0.029,1.542,0.974,0.5,0.222,0,0,0,0,0,0
001120-21-4,0,0,0,-0.064,1.591,0.918,0.5,0.222,0,0,0,0,0,0
000111-65-9,0,0,0,-0.09,1.625,0.836,0.5,0.222,0,0,0,0,0,0
007098-22-8,0,0,0,-0.015,1.523,0.987,0.5,0.222,0,0,0,0,0,0
000124-18-5,0,0,0,-0.071,1.6,0.902,0.5,0.222,0,0,0,0,0,0
000112-40-3,0,0,0,-0.059,1.583,0.93,0.5,0.222,0,0,0,0,0,0
000629-73-2,0,0,0,-0.043,1.5,0.948,0.5,0.222,0,0,0,0,0,0
000927-49-1,0,0,2.9,-0.005,1.544,1.029,1.5,0.667,0,0,0,0,4,0
000112-52-7,0,1,0,-0.009,1.366,0.925,0.5,0.222,0,0,0,0,0,0
000112-82-3,0,1,0,-0.016,1.215,0.908,0.5,0.222,0,0,0,0,0,0
028623-46-3,1,0,0,-0.015,1.488,0.96,0.5,0.222,0,0,1,0,2,0
000629-82-3,0,0,2,0.058,1.628,0.945,0.5,0.222,0,0,0,0,0,1
000111-82-0,0,0,4.9,0.023,1.618,0.94,1.5,0.667,0,0,1,0,2,0
002456-28-2,0,0,1.6,0.056,1.602,0.961,0.5,0.222,0,0,0,0,0,1
000123-96-6,0,0,3.7,-0.077,1.596,0.84,1.5,0.444,0,0,0,0,0,0
000104-76-7,0,0,3.7,-0.077,1.596,0.548,1.5,0.667,0,0,0,0,0,0
000645-62-5,0,0,4.3,-0.003,1.435,1.435,1.5,0.667,0,0,0,0,0,0
000111-70-6,0,0,4.2,-0.082,1.61,0.76,0.5,0.222,0,0,0,0,0,0
000112-70-9,0,0,2.4,-0.063,1.558,0.944,0.5,0.222,0,0,0,0,0,0
000111-87-5,0,0,3.7,-0.077,1.596,0.84,0.5,0.222,0,0,0,0,0,0
001454-85-9,0,0,1.9,-0.056,1.544,0.964,0.5,0.222,0,0,0,0,0,0
000112-72-1,0,0,2.2,-0.061,1.554,0.951,0.5,0.222,0,0,0,0,0,0
000629-76-5,0,0,2.1,-0.059,1.55,0.956,0.5,0.222,0,0,0,0,0,0
000103-11-7,0,0,6.1,0.018,1.55,0.885,2.5,1.111,0,0,1,0,0,0
000112-92-5,0,0,1.8,-0.055,1.542,0.967,0.5,0.222,0,0,0,0,0,0
000112-53-8,0,0,2.6,-0.065,1.563,0.936,0.5,0.222,0,0,0,0,0,0
032360-05-7,0,0,3,0.027,1.525,0.999,2,1.111,0,0,1,0,0,0
002499-59-4,0,0,6.1,0.018,1.55,0.908,1.5,0.667,0,0,1,0,0,0
003050-69-9,0,0,8.3,0.009,1.57,0.746,1.5,0.667,0,0,1,1,2,0
000122-40-7,0,0,3,0,1.142,1.083,2,0.667,0,0,0,0,0,0
000093-09-4,0,0,9.5,-0.087,0.777,0.256,2.5,1.556,0,0,1,0,0,0
000092-66-0,0,1,0,0.005,0.623,1.486,2,1.333,0,0,0,0,0,0
000098-66-8,0,2,18.8,0.058,1.248,2.337,4,1.778,0,0,0,0,0,0
000098-59-9,0,2,11.1,0.213,1.107,0.81,4,1.778,0,0,0,0,0,0
000064-67-5,0,1,21.1,0.148,2.199,0.5,3,1.111,0,0,0,0,0,2
001939-99-7,0,2,11.1,0.213,1.107,0.81,3.5,0.667,0,0,0,0,0,0
002085-88-3,0,0,5.9,0.019,1.026,0,1,0.5,0,0,0,0,0,1
019780-16-6,0,0,1.6,0.061,1.527,0.965,1,0.5,0,0,0,0,0,1
003290-92-4,0,0,12,-0.013,1.488,1.784,7.5,4,1,0,3,0,0,0
000923-26-2,0,0,13.6,-0.081,1.541,1.302,3,1.333,0,0,1,0,0,0
000097-88-1,0,0,8.3,0.009,1.57,0.986,2,1.111,0,0,1,0,0,0
000101-25-7,6,0,8.7,0.232,1.837,0.242,3.5,0.444,0,0,0,10,0,0
000069-65-8,0,0,23.1,-0.33,1.464,0.253,3,2.222,0,0,0,0,0,0
025395-31-7,0,0,20.8,-0.114,1.762,0.884,3.5,0.889,0,0,2,0,6,0
000142-08-5,1,0,8.3,-0.099,0.985,0,1,0.444,0,0,1,1,0,0
000142-29-0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
000090-04-0,1,0,5.6,-0.106,1.081,0,1.5,1.111,0,0,0,0,0,0
000106-49-0,1,0,0,-0.244,0.917,0,2,0.889,0,0,0,0,0,0
000150-78-7,0,0,10,-0.01,1.343,0.025,2,0.889,0,0,0,0,0,0
000150-19-6,0,0,11.8,-0.11,1.114,0.528,2,0.667,0,0,0,0,0,0
000151-10-0,0,0,10,-0.01,1.343,1.025,2,0.667,0,0,0,0,0,0
000586-38-9,0,0,15.8,-0.11,1.098,0.011,2.5,1.111,0,0,1,0,0,0
000105-56-6,1,0,13.3,-0.041,1.579,0.355,1.5,0.667,0,0,2,0,2,0
000079-09-4,0,0,18.2,-0.141,1.582,0,1.5,0.444,0,0,1,0,2,0
002627-35-2,0,1,9.1,-0.277,1.86,0.896,3,0.667,0,0,0,0,0,1
000096-23-1,0,2,8.3,-0.154,0.768,0,1.5,0.667,0,0,0,0,0,0
000099-87-6,0,0,0,0,1.15,0,2.5,1.333,0,0,0,0,0,0
000108-38-3,0,0,0,0,1.063,0,2,0.667,0,0,0,0,0,0
000536-66-3,0,0,8.3,-0.072,1.064,1.583,3,1.778,0,0,1,0,0,0
000118-90-1,1,0,0,-0.244,0.917,0,1.5,1.111,0,0,0,0,0,0
001726-23-4,0,0,10.5,-0.005,1.418,1.11,4,2.889,0,0,3,0,0,0
000117-84-0,0,0,6.1,0.016,1.402,0.991,2.5,2,0,0,2,0,0,0
028553-12-0,0,0,5.6,0.019,1.409,0.991,4.5,2.444,0,0,2,0,0,0
000084-66-2,0,0,13.3,-0.023,1.313,1.072,2.5,2,0,0,2,0,0,0
000103-23-1,0,0,5.9,0.02,1.595,0.908,4.5,2,0,0,2,0,4,0
000103-24-2,0,0,5.2,0.022,1.583,0.916,4.5,2,0,0,2,0,4,0
000142-16-5,0,0,6.7,0.016,1.555,0.832,4.5,2,0,0,2,0,0,0
002432-87-3,0,0,5,0.023,1.58,0.967,2.5,1.111,0,0,2,0,4,0
007360-38-5,0,0,7.2,0.014,1.598,0.882,6,3.778,0,0,3,0,3,0
000087-20-7,0,0,9.7,-0.054,1.232,0.975,3,1.778,0,0,1,0,0,0
000124-17-4,0,0,11.8,-0.009,1.862,1.244,1.5,0.444,0,0,1,0,3,2
000123-28-4,0,1,4.3,0.026,1.418,1.019,2.5,1.111,0,0,2,0,4,0
002630-39-9,0,0,7.9,0.007,1.464,1.099,3,1.778,0,2,1,0,5,0
000591-60-6,0,0,12,-0.006,1.629,0.979,2.5,0.667,0,0,1,0,5,0
000112-15-2,0,0,14.3,-0.029,1.952,1.672,1.5,0.444,0,0,1,0,3,2
000141-32-2,0,0,9.5,0.003,1.58,0.986,1.5,0.667,0,0,1,0,0,0
000140-11-4,0,0,9.5,-0.005,1.183,1.039,2,0.667,0,0,1,0,3,0
000095-92-1,0,0,20,-0.061,1.851,1.6,2,1.333,0,0,2,0,0,0
001459-93-4,0,0,16.7,-0.045,1.281,0.519,3,2,0,0,2,0,0,0
000623-91-6,0,0,16.7,-0.04,1.645,0.837,2.5,1.111,0,0,2,0,0,0
002499-95-8,0,0,7.4,0.013,1.562,0.727,1.5,0.667,0,0,1,0,0,0
000105-53-3,0,0,17.4,-0.042,1.8,0.551,2.5,0.889,0,0,2,0,2,0
000106-65-0,0,0,20,-0.061,1.851,0.031,2.5,1.111,0,0,2,0,4,0
003121-61-7,0,0,15.8,-0.043,1.772,0.668,1.5,0.667,0,0,1,0,0,1
000088-99-3,0,0,22.2,-0.184,0.829,0.697,2.5,1.556,0,0,2,0,0,0
029836-26-8,0,0,12.5,-0.122,1.548,0.952,3,2.222,0,0,0,1,0,2
000868-77-9,0,0,15.8,-0.101,1.547,0.28,2,1.111,0,0,1,0,0,0
002935-90-2,0,1,13.3,-0.053,1.309,0,1.5,0.667,0,0,1,0,2,0
000078-30-8,0,1,8.5,-0.207,1.477,1.874,6,3.333,0,0,0,0,0,0
000108-01-0,1,0,5.9,-0.084,2.001,0,1.5,0.444,0,0,0,0,0,0
000093-82-3,1,0,4.2,-0.04,1.558,0.952,2,1.333,0,0,1,0,2,0
007545-23-5,1,0,5.1,-0.048,1.571,0.936,2,1.333,0,0,1,0,2,0
000136-26-5,1,0,6.4,-0.063,1.592,0.904,2,1.333,0,0,1,0,2,0
003077-30-3,1,0,7.3,-0.073,1.607,0.876,2,1.333,0,0,1,0,2,0
000105-16-8,1,0,6.3,0.02,1.686,0.78,3,1.556,0,0,1,0,0,0
000109-83-1,1,0,7.1,-0.176,1.897,0,0.5,0.222,0,0,0,0,0,0
002050-92-2,1,0,0,0.01,1.64,1.084,0.5,0.222,0,0,0,0,0,0
000071-41-0,0,0,5.6,-0.096,1.657,0,0.5,0.222,0,0,0,0,0,0
000112-18-5,1,0,0,0.145,1.663,0.956,1.5,0.444,0,0,0,0,0,0
000112-50-5,0,0,13.3,-0.065,1.982,1.501,0.5,0.222,0,0,0,0,0,3
000111-27-3,0,0,4.8,-0.088,1.63,0.205,0.5,0.222,0,0,0,0,0,0
000142-84-7,1,0,0,0,1.732,0.815,0.5,0.222,0,0,0,0,0,0
000111-92-2,1,0,0,0.006,1.675,1.596,0.5,0.222,0,0,0,0,0,0
003370-35-2,1,0,3.3,-0.041,1.533,0.977,1.5,0.667,0,0,1,2,2,0
000928-96-1,0,0,5.3,-0.098,1.458,0.193,0.5,0.222,0,0,0,0,0,0
000110-58-7,1,0,0,-0.198,1.611,0,0.5,0.222,0,0,0,0,0,0
000071-36-3,0,0,6.7,-0.108,1.698,0,0.5,0.222,0,0,0,0,0,0
000071-23-8,0,0,8.3,-0.127,1.768,0,0.5,0.222,0,0,0,0,0,0
007705-14-8,0,0,0,0,1.25,2.031,2.5,1.333,0,1,0,0,0,0
006252-33-1,0,0,0,0,1.35,1.444,2.5,1.333,0,2,0,0,0,0
000099-85-4,0,0,0,0,1.25,2.031,2.5,1.333,0,0,0,0,0,0
000590-90-9,0,0,14.3,-0.107,1.56,0,1.5,0.444,0,0,0,0,5,0
000116-09-6,0,0,18.2,-0.141,1.582,0,1.5,0.444,0,0,0,0,3,0
000584-03-2,0,0,12.5,-0.177,1.649,0,1.5,0.667,0,0,0,0,0,0
000078-93-3,0,0,7.7,-0.001,1.62,0,1.5,0.444,0,0,0,0,5,0
000108-10-1,0,0,5.3,-0.003,1.58,0.016,2.5,0.444,0,0,0,0,5,0
000078-92-2,0,0,6.7,-0.108,1.698,0,1.5,0.444,0,0,0,0,0,0
007424-54-6,0,0,9.5,0,1.495,0.735,2.5,0.889,0,0,0,0,6,0
000563-80-4,0,0,6.3,-0.002,1.596,0,2,0.889,0,0,0,0,4,0
000093-91-4,0,0,9.1,0,1.047,0.931,2.5,1.111,0,0,0,0,5,0
000078-84-2,0,0,7.7,-0.001,1.62,0,1.5,0.444,0,0,0,0,1,0
013952-84-6,1,0,0,-0.218,1.641,0,1.5,0.444,0,0,0,0,0,0
001777-82-8,0,2,6.3,-0.117,0.602,3.037,2.5,1.333,0,0,0,0,0,0
000074-98-6,0,0,0,-0.267,1.833,0,0.5,0,0,0,0,0,0,0
000120-80-9,0,0,14.3,-0.23,0.797,0,1.5,1.111,0,0,0,0,0,0
000095-48-7,0,0,6.3,-0.122,0.949,0,1.5,1.111,0,0,0,0,0,0
000108-46-3,0,0,14.3,-0.23,0.797,0,2,0.667,0,0,0,0,0,0
000105-67-9,0,0,5.3,-0.107,1.02,0.335,2.5,1.333,0,0,0,0,0,0
000090-05-1,0,0,11.8,-0.11,1.114,0,1.5,1.111,0,0,0,0,0,0
000099-06-9,0,0,18.8,-0.202,0.814,0.029,2.5,1.111,0,0,1,0,0,0
000579-75-9,0,0,15.8,-0.11,1.098,0.203,2,1.333,0,0,1,0,0,0
000091-16-7,0,0,10,-0.01,1.343,0,1.5,1.111,0,0,0,0,0,0
000098-55-5,0,0,3.4,-0.073,1.325,1.76,4,1.778,0,1,0,0,0,0
000062-23-7,1,0,23.5,0.105,0.802,0.021,3,1.778,0,0,1,0,0,0
020306-75-6,1,0,11.8,-0.06,1.574,0,2.5,0.667,0,0,1,0,5,0
002415-85-2,1,0,7.4,-0.035,1.127,1.075,4,1.111,0,0,1,0,5,0
000625-50-3,1,0,6.7,-0.056,1.719,0,1.5,0.444,0,0,1,0,3,0
000821-38-5,0,0,9.1,-0.07,1.46,0.949,2.5,0.667,0,0,2,0,4,0
000111-20-6,0,0,12.5,-0.092,1.444,0.895,2.5,0.667,0,0,2,0,4,0
065119-95-1,0,0,2.9,-0.035,1.466,0.969,1.5,0.444,0,0,1,0,2,0
000626-86-8,0,0,15.4,-0.071,1.596,0.843,2.5,0.889,0,0,2,0,4,0
000060-33-3,0,0,3.8,-0.041,1.4,1.004,1.5,0.444,0,0,1,0,2,0
000334-48-5,0,0,6.3,-0.053,1.523,0.898,1.5,0.444,0,0,1,0,2,0
000112-05-0,0,0,6.9,-0.057,1.525,0.87,1.5,0.444,0,0,1,0,2,0
002724-58-5,0,0,3.6,-0.038,1.512,0.965,2.5,0.667,0,0,1,0,2,0
000693-57-2,1,0,5,-0.09,1.479,0.941,1.5,0.444,0,0,1,0,2,0
000111-29-5,0,0,10.5,-0.152,1.615,0,0.5,0.222,0,0,0,0,0,0
000142-62-1,0,0,10,-0.076,1.539,0,1.5,0.444,0,0,1,0,2,0
000105-74-8,0,0,5.4,0.216,1.538,0.963,2.5,1.111,0,0,2,0,4,0
004457-71-0,0,0,9.1,-0.134,1.594,0,1.5,0.667,0,0,0,0,0,0
001338-39-2,0,0,10.3,-0.075,1.519,0.971,3.5,2.222,0,0,1,0,2,1
026266-57-9,0,0,8.6,-0.059,1.516,0.98,3.5,2.222,0,0,1,0,2,1
000373-44-4,2,0,0,-0.218,1.513,0.866,0.5,0.222,0,0,0,0,0,0
040529-66-6,0,0,0,0.034,0.931,1.113,1.5,1.333,0,0,0,0,0,0
000541-41-3,0,1,18.2,-0.091,1.244,0,1.5,0.444,0,0,0,0,0,0
000624-49-7,0,0,22.2,-0.084,1.698,0.03,2.5,1.111,0,0,2,0,0,0
002549-51-1,0,1,16.7,-0.081,1.129,0,1.5,0.667,0,0,1,1,0,0
004292-10-8,2,0,4.8,0.005,1.627,0.962,5,1.556,0,0,2,0,2,0
000623-27-8,0,0,12.5,0,0.935,0.014,2,0.889,0,0,0,0,0,0
000099-04-7,0,0,11.1,-0.094,0.95,0,2.5,1.111,0,0,1,0,0,0
007779-27-3,3,0,0,0.165,1.863,0.632,3,0.667,0,0,0,6,0,0
000872-50-4,1,0,6.3,0.004,1.559,0,1.5,1.111,0,0,1,0,2,0
000103-65-1,0,0,0,0,1.111,0,1,0.444,0,0,0,0,0,0
000103-82-2,0,0,11.1,-0.094,0.95,0.411,2,0.444,0,0,1,0,2,0
000106-44-5,0,0,6.3,-0.122,0.949,0,2,0.889,0,0,0,0,0,0
000107-07-3,0,1,11.1,-0.19,0.961,0,0.5,0.222,0,0,0,0,0,0
000108-21-4,0,0,11.8,-0.006,1.805,0,2.5,0.444,0,0,1,0,3,0
000108-47-4,1,0,0,0.071,1.163,0,2,0.667,0,0,0,0,3,0
000108-84-9,0,0,7.7,0.013,1.691,1.328,3.5,0.667,0,0,1,0,3,0
000110-19-0,0,0,10,0.003,1.755,0,2.5,0.667,0,0,1,0,3,0
001114-71-2,1,1,2.9,0.038,1.29,1.024,2,1.333,0,0,0,0,0,0
001116-54-7,2,0,15.8,-0.013,1.755,0.014,1.5,0.667,0,0,0,0,0,0
000118-61-6,0,0,13.6,-0.089,1.142,0.999,2,1.556,0,0,1,0,0,0
000118-92-3,1,0,11.8,-0.21,0.782,0.09,2,1.333,0,0,1,0,0,0
000120-47-8,0,0,13.6,-0.089,1.142,0.934,2.5,1.556,0,0,1,0,0,0
000121-34-6,0,0,20,-0.189,1.054,0.185,3,1.778,0,0,1,0,0,0
000123-51-3,0,0,5.6,-0.096,1.657,0,1.5,0.444,0,0,0,0,0,0
000123-86-4,0,0,10,0.003,1.755,0.937,1.5,0.444,0,0,1,0,3,0
000151-41-7,0,1,9.3,0.164,1.792,0.919,3,0.667,0,0,0,0,0,1
001510-16-3,0,1,7.1,0.154,1.65,0.917,3,0.667,0,0,0,0,0,0
001689-99-2,1,2,5.4,-0.004,0.787,1.036,4,1.778,0,0,2,0,2,0
001886-81-3,0,1,5.8,0.196,1.483,0.938,3,1.778,0,0,0,0,0,1
002051-62-9,0,1,0,0.001,0.723,1.084,2,1.333,0,0,0,0,0,0
025339-17-7,0,0,3,-0.07,1.576,0.907,1.5,0.444,0,0,0,0,0,0
000499-80-9,1,0,23.5,-0.243,0.905,0.021,3,1.556,0,0,2,0,0,0
051338-27-3,0,2,11.1,-0.045,0.972,0.991,5.5,2.667,0,0,1,0,0,0
000056-84-8,1,0,25,-0.329,1.247,0,3,1.111,0,0,2,0,2,0
000059-67-6,1,0,14.3,-0.157,0.962,0,1.5,0.889,0,0,1,0,0,0
000621-82-9,0,0,10.5,-0.093,0.894,0.762,2,0.667,0,0,1,0,0,0
000063-91-2,1,0,8.7,-0.154,0.951,0.76,2.5,1.111,0,0,1,0,0,0
000693-54-9,0,0,3.2,-0.005,1.548,0.894,1.5,0.444,0,0,0,0,5,0
000074-89-5,1,0,0,-0.378,2.095,0,0,0,0,0,0,0,0,0
007781-98-8,0,0,13.6,-0.089,1.142,1.064,2.5,1.333,0,0,1,0,0,0
000078-48-8,0,4,2.3,-0.249,0.874,1.103,3,1.333,0,0,0,0,0,0
000089-00-9,1,0,23.5,-0.243,0.905,0.025,2.5,1.556,0,0,2,0,0,0
000096-22-0,0,0,6.3,-0.002,1.596,0,1.5,0.667,0,0,0,0,4,0
000099-50-3,0,0,23.5,-0.285,0.767,0.023,3,1.778,0,0,1,0,0,0
000099-93-4,0,0,11.1,-0.094,0.95,0.422,2.5,1.333,0,0,0,0,3,0
132682-98-5,2,3,16.3,-0.294,1.519,0.811,5.5,3.111,0,0,0,1,0,2
000058-08-2,4,0,7.1,-0.084,1.675,0.004,3,2.667,0,0,1,3,0,0
000058-55-9,4,0,9.5,-0.159,1.424,0,2.5,2.444,0,0,1,0,0,0