CAS No.,nN,ATSC8v,SpMaxA_G/D,Mor16u,nROH,O-058,P-117,MLOGP2,Molecular Polarizability
000050-29-3,0.000 ,2.487 ,1.032 ,0.672 ,0.000 ,0.000 ,0.000 ,38.020 ,309.680 
000050-32-8,0.000 ,3.696 ,1.064 ,0.276 ,0.000 ,0.000 ,0.000 ,30.809 ,404.140 
000050-65-7,2.000 ,3.601 ,1.027 ,0.414 ,0.000 ,1.000 ,0.000 ,12.771 ,310.980 
000052-68-6,0.000 ,0.000 ,1.042 ,0.041 ,1.000 ,1.000 ,0.000 ,0.239 ,157.770 
000053-70-3,0.000 ,6.106 ,1.053 ,0.502 ,0.000 ,0.000 ,0.000 ,35.045 ,433.920 
000053-96-3,1.000 ,3.349 ,1.046 ,0.883 ,0.000 ,1.000 ,0.000 ,11.316 ,275.370 
000055-21-0,1.000 ,0.000 ,1.000 ,0.252 ,0.000 ,1.000 ,0.000 ,1.674 ,123.040 
000055-38-9,0.000 ,4.547 ,1.001 ,-0.098 ,0.000 ,0.000 ,0.000 ,6.670 ,257.100 
000056-04-2,2.000 ,0.000 ,1.016 ,-0.036 ,0.000 ,1.000 ,0.000 ,0.010 ,140.890 
000056-38-2,1.000 ,7.227 ,0.986 ,0.226 ,0.000 ,0.000 ,0.000 ,5.351 ,257.540 
000056-49-5,0.000 ,6.886 ,1.054 ,0.410 ,0.000 ,0.000 ,0.000 ,34.194 ,398.490 
000056-53-1,0.000 ,7.412 ,0.937 ,0.617 ,0.000 ,0.000 ,0.000 ,15.651 ,307.030 
000057-13-6,2.000 ,0.000 ,0.892 ,0.178 ,0.000 ,1.000 ,0.000 ,3.473 ,40.060 
000057-55-6,0.000 ,0.000 ,0.926 ,-0.106 ,2.000 ,0.000 ,0.000 ,0.285 ,57.720 
000057-63-6,0.000 ,7.035 ,0.998 ,0.651 ,1.000 ,0.000 ,0.000 ,16.033 ,312.180 
000057-97-6,0.000 ,5.788 ,1.025 ,0.505 ,0.000 ,0.000 ,0.000 ,31.636 ,387.290 
000058-89-9,0.000 ,0.000 ,1.099 ,-0.703 ,0.000 ,0.000 ,0.000 ,16.744 ,190.820 
000058-90-2,0.000 ,0.000 ,1.120 ,0.003 ,0.000 ,0.000 ,0.000 ,13.085 ,168.200 
000060-11-7,3.000 ,4.170 ,0.913 ,0.107 ,0.000 ,0.000 ,0.000 ,10.330 ,308.410 
000060-12-8,0.000 ,0.111 ,0.989 ,0.450 ,1.000 ,0.000 ,0.000 ,3.704 ,128.570 
000060-35-5,1.000 ,0.000 ,0.913 ,0.118 ,0.000 ,1.000 ,0.000 ,0.628 ,44.700 
000060-57-1,0.000 ,0.000 ,1.082 ,-0.116 ,0.000 ,0.000 ,0.000 ,19.817 ,277.270 
000061-82-5,4.000 ,0.000 ,0.975 ,0.536 ,0.000 ,0.000 ,0.000 ,0.054 ,66.130 
000062-53-3,1.000 ,0.000 ,0.997 ,0.342 ,0.000 ,0.000 ,0.000 ,2.268 ,107.220 
000062-56-6,2.000 ,0.000 ,0.935 ,0.178 ,0.000 ,0.000 ,0.000 ,2.056 ,67.790 
000062-73-7,0.000 ,0.000 ,1.020 ,0.127 ,0.000 ,1.000 ,1.000 ,1.553 ,136.500 
000063-25-2,1.000 ,3.330 ,0.995 ,0.171 ,0.000 ,1.000 ,0.000 ,4.939 ,216.920 
000064-10-8,2.000 ,0.269 ,0.995 ,0.435 ,0.000 ,1.000 ,0.000 ,0.747 ,138.480 
000064-17-5,0.000 ,0.000 ,0.904 ,0.062 ,1.000 ,0.000 ,0.000 ,0.030 ,36.570 
000064-19-7,0.000 ,0.000 ,0.915 ,0.126 ,1.000 ,1.000 ,0.000 ,0.149 ,38.550 
000066-75-1,3.000 ,0.573 ,0.964 ,-0.300 ,1.000 ,1.000 ,0.000 ,0.082 ,215.090 
000067-56-1,0.000 ,0.000 ,0.838 ,-0.039 ,1.000 ,0.000 ,0.000 ,0.663 ,21.360 
000067-66-3,0.000 ,0.000 ,1.165 ,0.036 ,0.000 ,0.000 ,0.000 ,3.301 ,61.020 
000071-23-8,0.000 ,0.000 ,0.929 ,0.147 ,1.000 ,0.000 ,0.000 ,0.120 ,51.640 
000071-36-3,0.000 ,0.000 ,0.948 ,0.263 ,1.000 ,0.000 ,0.000 ,0.640 ,66.970 
000071-41-0,0.000 ,0.000 ,0.962 ,0.383 ,1.000 ,0.000 ,0.000 ,1.463 ,82.400 
000071-55-6,0.000 ,0.000 ,1.086 ,0.048 ,0.000 ,0.000 ,0.000 ,4.957 ,79.900 
000072-20-8,0.000 ,0.000 ,1.082 ,-0.111 ,0.000 ,0.000 ,0.000 ,19.817 ,277.270 
000072-43-5,0.000 ,5.254 ,0.983 ,-0.038 ,0.000 ,0.000 ,0.000 ,18.218 ,323.690 
000072-55-9,0.000 ,2.483 ,1.029 ,0.668 ,0.000 ,0.000 ,0.000 ,34.268 ,302.150 
000074-83-9,0.000 ,0.000 ,0.953 ,-0.021 ,0.000 ,0.000 ,0.000 ,1.243 ,38.300 
000075-09-2,0.000 ,0.000 ,1.046 ,-0.037 ,0.000 ,0.000 ,0.000 ,1.860 ,43.420 
000075-25-2,0.000 ,0.000 ,1.252 ,-0.168 ,0.000 ,0.000 ,0.000 ,5.850 ,94.410 
000075-27-4,0.000 ,0.000 ,1.195 ,-0.001 ,0.000 ,0.000 ,0.000 ,4.106 ,71.930 
000075-34-3,0.000 ,0.000 ,1.021 ,0.050 ,0.000 ,0.000 ,0.000 ,3.301 ,61.900 
000075-60-5,0.000 ,0.000 ,1.028 ,-0.109 ,1.000 ,0.000 ,0.000 ,1.109 ,82.780 
000075-99-0,0.000 ,0.000 ,1.028 ,-0.058 ,1.000 ,1.000 ,0.000 ,0.991 ,87.640 
000076-03-9,0.000 ,0.000 ,1.116 ,0.043 ,1.000 ,1.000 ,0.000 ,0.991 ,87.590 
000076-44-8,0.000 ,0.000 ,1.132 ,-0.634 ,0.000 ,0.000 ,0.000 ,26.252 ,269.840 
000078-48-8,0.000 ,11.925 ,1.073 ,0.723 ,0.000 ,1.000 ,1.000 ,11.035 ,327.550 
000078-59-1,0.000 ,0.000 ,0.973 ,0.258 ,0.000 ,1.000 ,0.000 ,3.789 ,146.680 
000079-00-5,0.000 ,0.000 ,1.084 ,0.002 ,0.000 ,0.000 ,0.000 ,4.957 ,77.490 
000079-01-6,0.000 ,0.000 ,1.125 ,0.069 ,0.000 ,0.000 ,0.000 ,4.332 ,76.850 
000079-06-1,1.000 ,0.000 ,0.941 ,0.051 ,0.000 ,1.000 ,0.000 ,0.145 ,62.030 
000079-94-7,0.000 ,5.192 ,1.007 ,-0.014 ,0.000 ,0.000 ,0.000 ,27.612 ,373.270 
000080-05-7,0.000 ,3.587 ,0.972 ,0.511 ,0.000 ,0.000 ,0.000 ,10.928 ,248.130 
000081-81-2,0.000 ,8.719 ,0.971 ,0.539 ,1.000 ,2.000 ,0.000 ,10.264 ,326.280 
000082-68-8,1.000 ,0.000 ,1.154 ,-0.028 ,0.000 ,0.000 ,0.000 ,18.405 ,217.780 
000083-32-9,0.000 ,0.000 ,1.055 ,0.387 ,0.000 ,0.000 ,0.000 ,15.670 ,196.350 
000083-79-4,0.000 ,11.707 ,0.999 ,0.103 ,0.000 ,1.000 ,0.000 ,3.747 ,400.460 
000084-66-2,0.000 ,4.343 ,0.975 ,0.951 ,0.000 ,2.000 ,0.000 ,6.641 ,204.320 
000084-69-5,0.000 ,10.655 ,0.955 ,1.617 ,0.000 ,2.000 ,0.000 ,13.090 ,267.390 
000084-72-0,0.000 ,5.119 ,0.930 ,0.351 ,0.000 ,3.000 ,0.000 ,5.209 ,241.470 
000084-75-3,0.000 ,11.435 ,0.939 ,1.448 ,0.000 ,2.000 ,0.000 ,20.781 ,327.630 
000085-01-8,0.000 ,1.002 ,1.045 ,0.478 ,0.000 ,0.000 ,0.000 ,18.762 ,245.370 
000085-02-9,1.000 ,0.837 ,1.044 ,0.315 ,0.000 ,0.000 ,0.000 ,9.309 ,236.170 
000085-34-7,0.000 ,0.266 ,1.056 ,0.255 ,1.000 ,1.000 ,0.000 ,12.121 ,182.800 
000085-44-9,0.000 ,0.000 ,1.060 ,0.269 ,0.000 ,2.000 ,0.000 ,4.804 ,134.240 
000085-68-7,0.000 ,9.566 ,0.966 ,0.578 ,0.000 ,2.000 ,0.000 ,16.739 ,312.120 
000086-30-6,2.000 ,2.529 ,0.989 ,0.772 ,0.000 ,1.000 ,0.000 ,10.385 ,220.570 
000086-50-0,3.000 ,3.224 ,1.027 ,-0.200 ,0.000 ,1.000 ,0.000 ,0.978 ,305.010 
000086-73-7,0.000 ,0.520 ,1.058 ,0.781 ,0.000 ,0.000 ,0.000 ,17.204 ,213.540 
000086-86-2,1.000 ,1.253 ,0.986 ,0.509 ,0.000 ,1.000 ,0.000 ,5.684 ,213.840 
000086-87-3,0.000 ,0.665 ,1.002 ,0.356 ,1.000 ,1.000 ,0.000 ,7.785 ,206.520 
000087-61-6,0.000 ,0.000 ,1.105 ,0.075 ,0.000 ,0.000 ,0.000 ,16.507 ,140.890 
000087-86-5,0.000 ,0.000 ,1.149 ,-0.010 ,0.000 ,0.000 ,0.000 ,15.278 ,187.210 
000088-06-2,0.000 ,0.000 ,1.090 ,0.119 ,0.000 ,0.000 ,0.000 ,10.982 ,149.520 
000088-30-2,1.000 ,0.000 ,1.020 ,0.444 ,0.000 ,0.000 ,0.000 ,6.065 ,146.580 
000088-99-3,0.000 ,0.000 ,1.008 ,0.362 ,2.000 ,2.000 ,0.000 ,1.915 ,140.660 
000090-05-1,0.000 ,0.000 ,0.978 ,0.046 ,0.000 ,0.000 ,0.000 ,1.553 ,119.740 
000090-12-0,0.000 ,0.000 ,1.023 ,0.414 ,0.000 ,0.000 ,0.000 ,13.524 ,183.830 
000090-94-8,2.000 ,4.861 ,0.965 ,-0.327 ,0.000 ,1.000 ,0.000 ,11.688 ,356.220 
000091-01-0,0.000 ,2.396 ,0.986 ,0.522 ,1.000 ,0.000 ,0.000 ,9.802 ,207.310 
000091-16-7,0.000 ,0.000 ,0.969 ,-0.158 ,0.000 ,0.000 ,0.000 ,2.496 ,136.980 
000091-20-3,0.000 ,0.000 ,1.036 ,0.368 ,0.000 ,0.000 ,0.000 ,11.465 ,166.120 
000091-22-5,1.000 ,0.000 ,1.034 ,0.225 ,0.000 ,0.000 ,0.000 ,4.267 ,157.310 
000091-57-6,0.000 ,0.447 ,1.031 ,0.208 ,0.000 ,0.000 ,0.000 ,13.524 ,185.240 
000091-80-5,3.000 ,9.268 ,0.934 ,0.551 ,0.000 ,0.000 ,0.000 ,5.994 ,284.450 
000091-94-1,2.000 ,2.721 ,1.036 ,-0.124 ,0.000 ,0.000 ,0.000 ,12.856 ,274.710 
000092-24-0,0.000 ,3.776 ,1.063 ,0.129 ,0.000 ,0.000 ,0.000 ,26.674 ,374.120 
000092-82-0,2.000 ,1.715 ,1.048 ,0.203 ,0.000 ,0.000 ,0.000 ,3.604 ,246.320 
000092-87-5,2.000 ,2.487 ,1.015 ,-0.016 ,0.000 ,0.000 ,0.000 ,6.321 ,238.790 
000092-91-1,0.000 ,2.220 ,1.016 ,0.742 ,0.000 ,1.000 ,0.000 ,12.835 ,250.010 
000093-58-3,0.000 ,0.428 ,1.001 ,0.300 ,0.000 ,1.000 ,0.000 ,4.135 ,132.480 
000093-65-2,0.000 ,1.437 ,0.970 ,0.171 ,1.000 ,1.000 ,0.000 ,5.654 ,186.570 
000093-71-0,1.000 ,0.444 ,0.943 ,-0.427 ,0.000 ,1.000 ,0.000 ,3.123 ,156.820 
000093-76-5,0.000 ,0.577 ,1.025 ,-0.159 ,1.000 ,1.000 ,0.000 ,8.490 ,189.810 
000093-89-0,0.000 ,1.571 ,0.992 ,0.425 ,0.000 ,1.000 ,0.000 ,5.526 ,148.020 
000093-99-2,0.000 ,3.938 ,1.014 ,0.543 ,0.000 ,1.000 ,0.000 ,12.378 ,216.450 
000094-59-7,0.000 ,0.882 ,1.028 ,0.311 ,0.000 ,0.000 ,0.000 ,4.512 ,162.850 
000094-74-6,0.000 ,0.980 ,0.998 ,-0.063 ,1.000 ,1.000 ,0.000 ,4.353 ,169.780 
000094-75-7,0.000 ,0.577 ,1.023 ,0.036 ,1.000 ,1.000 ,0.000 ,5.543 ,171.290 
000094-81-5,0.000 ,3.462 ,0.990 ,0.146 ,1.000 ,1.000 ,0.000 ,7.069 ,201.490 
000095-14-7,3.000 ,0.000 ,1.036 ,0.610 ,0.000 ,0.000 ,0.000 ,1.113 ,121.520 
000095-15-8,0.000 ,0.000 ,1.076 ,0.409 ,0.000 ,0.000 ,0.000 ,8.130 ,154.180 
000095-50-1,0.000 ,0.000 ,1.071 ,0.124 ,0.000 ,0.000 ,0.000 ,12.094 ,123.050 
000095-53-4,1.000 ,0.000 ,0.986 ,0.249 ,0.000 ,0.000 ,0.000 ,3.456 ,123.430 
000095-57-8,0.000 ,0.000 ,1.029 ,0.201 ,0.000 ,0.000 ,0.000 ,4.525 ,112.930 
000095-77-2,0.000 ,0.000 ,1.062 ,0.119 ,0.000 ,0.000 ,0.000 ,7.446 ,130.290 
000095-93-2,0.000 ,0.000 ,0.989 ,0.349 ,0.000 ,0.000 ,0.000 ,12.690 ,157.830 
000095-94-3,0.000 ,0.000 ,1.137 ,-0.095 ,0.000 ,0.000 ,0.000 ,21.476 ,160.770 
000096-12-8,0.000 ,0.000 ,1.066 ,-0.111 ,0.000 ,0.000 ,0.000 ,8.746 ,120.490 
000096-18-4,0.000 ,0.000 ,1.043 ,-0.198 ,0.000 ,0.000 ,0.000 ,6.781 ,91.240 
000098-16-8,1.000 ,0.000 ,1.017 ,0.358 ,0.000 ,0.000 ,0.000 ,6.870 ,124.050 
000098-86-2,0.000 ,0.000 ,0.999 ,0.336 ,0.000 ,1.000 ,0.000 ,4.420 ,128.770 
000098-95-3,1.000 ,0.000 ,1.013 ,0.271 ,0.000 ,0.000 ,0.000 ,3.562 ,117.700 
000099-09-2,2.000 ,0.000 ,1.008 ,0.204 ,0.000 ,0.000 ,0.000 ,1.816 ,137.700 
000099-34-3,2.000 ,0.000 ,1.027 ,0.033 ,1.000 ,1.000 ,0.000 ,2.963 ,168.170 
000099-54-7,1.000 ,0.000 ,1.068 ,0.038 ,0.000 ,0.000 ,0.000 ,9.673 ,156.540 
000099-77-4,1.000 ,1.474 ,0.957 ,0.400 ,0.000 ,1.000 ,0.000 ,5.223 ,175.570 
000099-96-7,0.000 ,0.166 ,1.009 ,0.237 ,1.000 ,1.000 ,0.000 ,1.282 ,127.010 
000100-01-6,2.000 ,0.000 ,1.007 ,0.166 ,0.000 ,0.000 ,0.000 ,1.816 ,155.980 
000100-02-7,1.000 ,0.000 ,1.010 ,0.191 ,0.000 ,0.000 ,0.000 ,1.816 ,132.330 
000100-42-5,0.000 ,0.000 ,1.003 ,0.446 ,0.000 ,0.000 ,0.000 ,8.130 ,133.390 
000100-51-6,0.000 ,0.000 ,1.000 ,0.134 ,1.000 ,0.000 ,0.000 ,2.532 ,113.450 
000100-54-9,2.000 ,0.000 ,1.023 ,0.135 ,0.000 ,0.000 ,0.000 ,0.020 ,105.270 
000100-66-3,0.000 ,0.000 ,0.979 ,0.088 ,0.000 ,0.000 ,0.000 ,3.456 ,113.500 
000101-05-3,4.000 ,1.020 ,1.044 ,0.795 ,0.000 ,0.000 ,0.000 ,14.873 ,248.990 
000101-21-3,1.000 ,4.716 ,0.953 ,0.275 ,0.000 ,1.000 ,0.000 ,5.654 ,196.930 
000101-42-8,2.000 ,2.434 ,0.978 ,0.154 ,0.000 ,1.000 ,0.000 ,2.295 ,171.480 
000101-55-3,0.000 ,2.915 ,1.002 ,0.249 ,0.000 ,0.000 ,0.000 ,16.545 ,220.570 
000101-61-1,2.000 ,7.165 ,0.953 ,0.107 ,0.000 ,0.000 ,0.000 ,14.427 ,311.130 
000101-84-8,0.000 ,2.491 ,0.987 ,0.649 ,0.000 ,0.000 ,0.000 ,11.526 ,193.230 
000101-97-3,0.000 ,2.827 ,0.922 ,0.380 ,0.000 ,1.000 ,0.000 ,5.694 ,160.880 
000101-99-5,1.000 ,2.856 ,0.955 ,0.575 ,0.000 ,1.000 ,0.000 ,2.295 ,162.890 
000103-33-3,2.000 ,0.939 ,1.033 ,0.025 ,0.000 ,0.000 ,0.000 ,5.751 ,234.630 
000103-45-7,0.000 ,2.197 ,0.953 ,0.186 ,0.000 ,1.000 ,0.000 ,5.694 ,162.020 
000103-65-1,0.000 ,0.299 ,0.988 ,0.555 ,0.000 ,0.000 ,0.000 ,10.620 ,139.960 
000103-82-2,0.000 ,0.143 ,1.002 ,0.351 ,1.000 ,1.000 ,0.000 ,3.117 ,128.560 
000103-84-4,1.000 ,0.389 ,0.973 ,0.186 ,0.000 ,1.000 ,0.000 ,2.649 ,145.320 
000103-88-8,1.000 ,0.759 ,0.995 ,0.085 ,0.000 ,1.000 ,0.000 ,5.598 ,176.970 
000104-04-1,2.000 ,0.168 ,1.006 ,0.235 ,0.000 ,1.000 ,0.000 ,2.441 ,184.830 
000104-40-5,0.000 ,6.921 ,1.026 ,0.609 ,0.000 ,0.000 ,0.000 ,25.901 ,236.980 
000104-51-8,0.000 ,1.281 ,0.994 ,0.632 ,0.000 ,0.000 ,0.000 ,12.690 ,153.700 
000106-30-9,0.000 ,2.543 ,0.974 ,0.423 ,0.000 ,1.000 ,0.000 ,5.651 ,145.220 
000106-32-1,0.000 ,3.393 ,0.983 ,0.482 ,0.000 ,1.000 ,0.000 ,12.907 ,160.570 
000106-40-1,1.000 ,0.000 ,1.032 ,0.237 ,0.000 ,0.000 ,0.000 ,5.272 ,136.430 
000106-42-3,0.000 ,0.000 ,1.001 ,0.154 ,0.000 ,0.000 ,0.000 ,8.653 ,124.340 
000106-44-5,0.000 ,0.000 ,1.000 ,0.299 ,0.000 ,0.000 ,0.000 ,3.456 ,113.440 
000106-46-7,0.000 ,0.000 ,1.071 ,0.136 ,0.000 ,0.000 ,0.000 ,12.094 ,123.850 
000106-49-0,1.000 ,0.000 ,0.999 ,0.193 ,0.000 ,0.000 ,0.000 ,3.456 ,124.070 
000106-89-8,0.000 ,0.000 ,1.010 ,0.155 ,0.000 ,0.000 ,0.000 ,0.166 ,62.050 
000106-93-4,0.000 ,0.000 ,1.055 ,0.023 ,0.000 ,0.000 ,0.000 ,4.957 ,86.480 
000108-38-3,0.000 ,0.000 ,1.001 ,0.250 ,0.000 ,0.000 ,0.000 ,8.653 ,124.330 
000108-43-0,0.000 ,0.000 ,1.031 ,0.277 ,0.000 ,0.000 ,0.000 ,4.525 ,113.610 
000108-44-1,1.000 ,0.000 ,0.998 ,0.223 ,0.000 ,0.000 ,0.000 ,3.456 ,124.540 
000108-60-1,0.000 ,0.000 ,0.954 ,0.022 ,0.000 ,0.000 ,0.000 ,5.170 ,130.290 
000108-62-3,0.000 ,1.361 ,0.913 ,-0.071 ,0.000 ,0.000 ,0.000 ,0.963 ,141.540 
000108-65-6,0.000 ,0.680 ,0.949 ,-0.034 ,0.000 ,1.000 ,0.000 ,0.289 ,104.920 
000108-68-9,0.000 ,0.000 ,1.001 ,0.159 ,0.000 ,0.000 ,0.000 ,4.808 ,131.060 
000108-70-3,0.000 ,0.000 ,1.105 ,0.230 ,0.000 ,0.000 ,0.000 ,16.507 ,142.920 
000108-86-1,0.000 ,0.000 ,1.045 ,0.291 ,0.000 ,0.000 ,0.000 ,9.273 ,118.440 
000108-90-7,0.000 ,0.000 ,1.036 ,0.275 ,0.000 ,0.000 ,0.000 ,8.272 ,106.290 
000108-95-2,0.000 ,0.000 ,0.999 ,0.323 ,0.000 ,0.000 ,0.000 ,2.268 ,96.600 
000109-69-3,0.000 ,0.000 ,0.969 ,0.172 ,0.000 ,0.000 ,0.000 ,4.957 ,76.880 
000110-86-1,1.000 ,0.000 ,0.993 ,0.216 ,0.000 ,0.000 ,0.000 ,0.219 ,81.650 
000111-27-3,0.000 ,0.161 ,0.974 ,0.522 ,1.000 ,0.000 ,0.000 ,2.519 ,97.780 
000111-42-2,1.000 ,0.058 ,0.959 ,-0.034 ,2.000 ,0.000 ,0.000 ,0.840 ,83.590 
000111-54-6,2.000 ,0.847 ,1.007 ,0.519 ,0.000 ,0.000 ,0.000 ,0.111 ,212.890 
000111-70-6,0.000 ,0.707 ,0.985 ,0.608 ,1.000 ,0.000 ,0.000 ,3.765 ,113.210 
000111-76-2,0.000 ,0.740 ,0.973 ,0.243 ,1.000 ,0.000 ,0.000 ,0.499 ,102.660 
000111-91-1,0.000 ,1.336 ,0.990 ,0.142 ,0.000 ,0.000 ,0.000 ,2.148 ,115.850 
000112-30-1,0.000 ,3.488 ,1.012 ,0.789 ,1.000 ,0.000 ,0.000 ,14.489 ,159.350 
000112-53-8,0.000 ,5.402 ,1.027 ,0.793 ,1.000 ,0.000 ,0.000 ,19.175 ,190.100 
000114-38-5,2.000 ,0.340 ,0.989 ,0.209 ,0.000 ,1.000 ,0.000 ,2.148 ,154.030 
000115-28-6,0.000 ,0.000 ,1.086 ,-0.264 ,2.000 ,2.000 ,0.000 ,6.848 ,254.290 
000115-29-7,0.000 ,0.000 ,1.101 ,-0.363 ,0.000 ,0.000 ,0.000 ,10.387 ,277.320 
000115-90-2,0.000 ,8.172 ,0.986 ,0.178 ,0.000 ,0.000 ,0.000 ,4.270 ,277.590 
000116-06-3,2.000 ,3.337 ,0.987 ,0.072 ,0.000 ,1.000 ,0.000 ,0.801 ,174.430 
000117-18-0,1.000 ,0.000 ,1.128 ,-0.043 ,0.000 ,0.000 ,0.000 ,15.990 ,195.450 
000117-84-0,0.000 ,14.970 ,0.887 ,1.408 ,0.000 ,2.000 ,0.000 ,40.175 ,389.120 
000118-74-1,0.000 ,0.000 ,1.200 ,-0.035 ,0.000 ,0.000 ,0.000 ,27.110 ,199.720 
000118-75-2,0.000 ,0.000 ,1.167 ,-0.259 ,0.000 ,2.000 ,0.000 ,5.081 ,179.140 
000119-91-5,2.000 ,4.847 ,1.040 ,0.136 ,0.000 ,0.000 ,0.000 ,13.905 ,354.700 
000120-12-7,0.000 ,1.635 ,1.052 ,0.327 ,0.000 ,0.000 ,0.000 ,18.762 ,261.540 
000120-36-5,0.000 ,1.037 ,0.996 ,0.176 ,1.000 ,1.000 ,0.000 ,7.000 ,187.630 
000120-66-1,1.000 ,0.356 ,0.982 ,0.389 ,0.000 ,1.000 ,0.000 ,3.782 ,160.330 
000120-82-1,0.000 ,0.000 ,1.104 ,0.039 ,0.000 ,0.000 ,0.000 ,16.507 ,141.880 
000120-83-2,0.000 ,0.000 ,1.061 ,0.151 ,0.000 ,0.000 ,0.000 ,7.446 ,130.500 
000121-75-5,0.000 ,6.050 ,0.961 ,0.280 ,0.000 ,2.000 ,0.000 ,0.346 ,271.760 
000121-81-3,3.000 ,0.000 ,1.016 ,0.126 ,0.000 ,1.000 ,0.000 ,1.730 ,175.460 
000122-14-5,1.000 ,3.495 ,1.004 ,0.334 ,0.000 ,0.000 ,0.000 ,4.040 ,244.290 
000122-34-9,5.000 ,2.650 ,0.998 ,0.208 ,0.000 ,0.000 ,0.000 ,5.165 ,181.720 
000122-39-4,1.000 ,2.413 ,1.000 ,0.407 ,0.000 ,0.000 ,0.000 ,11.526 ,216.550 
000122-42-9,1.000 ,4.334 ,0.942 ,0.366 ,0.000 ,1.000 ,0.000 ,3.306 ,179.120 
000123-33-1,2.000 ,0.000 ,1.009 ,0.002 ,0.000 ,2.000 ,0.000 ,0.093 ,90.250 
000123-66-0,0.000 ,2.151 ,0.973 ,0.464 ,0.000 ,1.000 ,0.000 ,4.244 ,130.350 
000123-91-1,0.000 ,0.000 ,0.944 ,-0.450 ,0.000 ,0.000 ,0.000 ,0.224 ,68.730 
000126-75-0,0.000 ,5.270 ,0.956 ,0.249 ,0.000 ,1.000 ,1.000 ,2.658 ,224.680 
000127-18-4,0.000 ,0.000 ,1.203 ,0.172 ,0.000 ,0.000 ,0.000 ,6.047 ,94.320 
000127-20-8,0.000 ,0.000 ,1.086 ,-0.118 ,0.000 ,1.000 ,0.000 ,0.991 ,97.280 
000129-00-0,0.000 ,1.079 ,1.063 ,0.270 ,0.000 ,0.000 ,0.000 ,22.653 ,298.670 
000131-11-3,0.000 ,1.689 ,0.985 ,0.496 ,0.000 ,2.000 ,0.000 ,4.018 ,173.030 
000132-64-9,0.000 ,0.587 ,1.062 ,0.615 ,0.000 ,0.000 ,0.000 ,8.174 ,201.840 
000132-66-1,1.000 ,5.663 ,0.924 ,0.614 ,1.000 ,2.000 ,0.000 ,12.755 ,319.500 
