CAS No.,nN,ATSC8v,SpMaxA_G/D,Mor16u,nROH,O-058,P-117,MLOGP2,Molecular Polarizability
007287-19-6,5.000 ,7.811 ,0.961 ,0.720 ,0.000 ,0.000 ,0.000 ,8.371 ,248.510 
007786-34-7,0.000 ,1.199 ,0.950 ,-0.379 ,0.000 ,2.000 ,1.000 ,0.570 ,165.200 
008001-35-2,0.000 ,0.000 ,1.066 ,-0.035 ,0.000 ,0.000 ,0.000 ,31.513 ,286.600 
009006-42-2,5.000 ,5.969 ,0.998 ,0.871 ,0.000 ,0.000 ,0.000 ,2.184 ,535.750 
010061-02-6,0.000 ,0.000 ,1.030 ,-0.168 ,0.000 ,0.000 ,0.000 ,4.332 ,75.650 
010265-92-6,1.000 ,0.000 ,1.025 ,0.127 ,0.000 ,1.000 ,1.000 ,1.493 ,106.100 
010548-10-4,0.000 ,6.250 ,1.016 ,0.024 ,0.000 ,0.000 ,0.000 ,1.640 ,290.360 
012122-67-7,2.000 ,0.167 ,1.021 ,0.266 ,0.000 ,0.000 ,0.000 ,0.111 ,266.900 
012771-68-5,2.000 ,3.413 ,0.961 ,0.302 ,1.000 ,0.000 ,0.000 ,3.291 ,258.550 
013029-08-8,0.000 ,1.158 ,1.044 ,0.706 ,0.000 ,0.000 ,0.000 ,24.476 ,222.640 
013114-87-9,2.000 ,0.376 ,0.993 ,0.320 ,0.000 ,1.000 ,0.000 ,3.749 ,153.830 
013140-86-8,2.000 ,3.556 ,1.012 ,0.503 ,0.000 ,1.000 ,0.000 ,2.034 ,185.750 
013140-89-1,2.000 ,5.685 ,1.009 ,0.117 ,0.000 ,1.000 ,0.000 ,3.995 ,214.660 
013194-48-4,0.000 ,6.645 ,0.942 ,0.173 ,0.000 ,1.000 ,1.000 ,4.244 ,227.110 
013286-32-3,0.000 ,6.818 ,0.940 ,0.692 ,0.000 ,1.000 ,1.000 ,5.053 ,243.410 
013360-45-7,2.000 ,3.853 ,0.994 ,-0.052 ,0.000 ,1.000 ,0.000 ,7.794 ,227.950 
013684-63-4,2.000 ,6.114 ,0.984 ,0.793 ,0.000 ,2.000 ,0.000 ,4.354 ,304.510 
014255-72-2,0.000 ,8.274 ,0.982 ,0.581 ,0.000 ,2.000 ,0.000 ,3.665 ,281.290 
015299-99-7,1.000 ,8.602 ,0.920 ,0.215 ,0.000 ,1.000 ,0.000 ,9.613 ,297.620 
015545-48-9,2.000 ,3.122 ,0.990 ,0.253 ,0.000 ,1.000 ,0.000 ,5.654 ,206.770 
015968-05-5,0.000 ,1.423 ,1.065 ,0.593 ,0.000 ,0.000 ,0.000 ,35.867 ,259.610 
015972-60-8,1.000 ,7.759 ,0.916 ,-0.082 ,0.000 ,1.000 ,0.000 ,10.127 ,256.520 
016752-77-5,2.000 ,2.070 ,0.982 ,0.206 ,0.000 ,1.000 ,0.000 ,0.003 ,140.560 
017804-35-2,4.000 ,7.713 ,0.934 ,0.805 ,0.000 ,2.000 ,0.000 ,2.760 ,283.580 
017924-92-4,0.000 ,13.524 ,0.948 ,0.688 ,0.000 ,2.000 ,0.000 ,7.860 ,310.570 
018691-97-9,3.000 ,2.949 ,1.030 ,0.493 ,0.000 ,1.000 ,0.000 ,3.016 ,233.560 
019044-88-3,4.000 ,6.784 ,0.956 ,0.721 ,0.000 ,2.000 ,0.000 ,3.842 ,327.090 
019095-79-5,2.000 ,7.261 ,0.989 ,0.444 ,0.000 ,1.000 ,0.000 ,6.422 ,245.680 
019937-59-8,2.000 ,3.551 ,0.979 ,0.005 ,0.000 ,1.000 ,0.000 ,3.378 ,213.520 
020354-26-1,2.000 ,1.665 ,1.050 ,0.339 ,0.000 ,2.000 ,0.000 ,6.073 ,211.880 
020782-57-4,2.000 ,2.290 ,0.959 ,-0.075 ,0.000 ,1.000 ,0.000 ,2.392 ,192.910 
021087-64-9,4.000 ,2.416 ,0.973 ,0.078 ,0.000 ,1.000 ,0.000 ,2.556 ,208.570 
021259-20-1,0.000 ,24.586 ,0.904 ,0.255 ,1.000 ,3.000 ,0.000 ,2.529 ,398.040 
021609-90-5,0.000 ,6.131 ,1.028 ,0.151 ,0.000 ,0.000 ,0.000 ,21.339 ,342.600 
022175-22-0,2.000 ,1.824 ,0.976 ,0.145 ,0.000 ,1.000 ,0.000 ,4.353 ,188.050 
022224-92-6,1.000 ,11.283 ,0.949 ,0.344 ,0.000 ,1.000 ,1.000 ,14.039 ,283.280 
022248-79-9,0.000 ,4.447 ,0.964 ,0.064 ,0.000 ,1.000 ,1.000 ,19.896 ,275.590 
023103-98-2,4.000 ,7.133 ,0.939 ,0.368 ,0.000 ,1.000 ,0.000 ,2.717 ,229.210 
023135-22-0,3.000 ,2.579 ,0.948 ,-0.178 ,0.000 ,2.000 ,0.000 ,0.214 ,187.930 
023184-66-9,1.000 ,14.898 ,0.909 ,-0.093 ,0.000 ,0.000 ,0.000 ,16.023 ,308.350 
023564-05-8,4.000 ,4.261 ,0.943 ,0.295 ,0.000 ,2.000 ,0.000 ,0.026 ,329.950 
023950-58-5,1.000 ,4.221 ,0.978 ,0.292 ,0.000 ,1.000 ,0.000 ,14.486 ,236.720 
024691-80-3,1.000 ,3.875 ,0.998 ,0.744 ,0.000 ,1.000 ,0.000 ,2.864 ,213.060 
025057-89-0,2.000 ,2.959 ,1.017 ,0.606 ,0.000 ,3.000 ,0.000 ,2.416 ,216.530 
025277-05-8,2.000 ,0.968 ,0.974 ,-0.072 ,0.000 ,1.000 ,0.000 ,1.545 ,177.880 
025311-71-1,1.000 ,14.977 ,0.945 ,0.537 ,0.000 ,1.000 ,0.000 ,9.442 ,326.480 
026225-79-6,0.000 ,5.090 ,0.971 ,-0.054 ,0.000 ,2.000 ,0.000 ,2.786 ,252.150 
026259-45-0,5.000 ,6.953 ,0.938 ,0.531 ,0.000 ,0.000 ,0.000 ,6.387 ,217.720 
026389-78-6,3.000 ,3.520 ,0.962 ,-0.498 ,0.000 ,0.000 ,0.000 ,12.577 ,275.400 
026644-46-2,4.000 ,3.439 ,0.977 ,-0.988 ,0.000 ,2.000 ,0.000 ,1.970 ,312.940 
026718-65-0,0.000 ,3.106 ,0.949 ,-0.030 ,0.000 ,2.000 ,1.000 ,0.570 ,163.190 
026934-87-2,0.000 ,20.384 ,0.929 ,-0.198 ,2.000 ,2.000 ,0.000 ,1.396 ,363.110 
027355-22-2,0.000 ,0.000 ,1.132 ,-0.023 ,0.000 ,1.000 ,0.000 ,13.240 ,204.760 
027554-26-3,0.000 ,14.375 ,0.829 ,0.923 ,0.000 ,2.000 ,0.000 ,29.446 ,391.020 
028170-54-9,2.000 ,2.581 ,0.978 ,0.120 ,0.000 ,1.000 ,0.000 ,1.635 ,195.060 
028540-82-1,4.000 ,22.361 ,0.918 ,0.475 ,0.000 ,4.000 ,0.000 ,0.586 ,417.850 
029091-05-2,4.000 ,2.551 ,0.949 ,0.125 ,0.000 ,0.000 ,0.000 ,8.592 ,280.000 
029091-21-2,4.000 ,6.389 ,0.935 ,0.619 ,0.000 ,0.000 ,0.000 ,11.962 ,318.300 
029682-39-1,1.000 ,0.000 ,1.075 ,0.062 ,0.000 ,0.000 ,0.000 ,10.697 ,169.870 
029752-43-0,0.000 ,5.649 ,0.996 ,-0.135 ,2.000 ,1.000 ,0.000 ,1.915 ,278.080 
030560-19-1,1.000 ,0.000 ,0.995 ,0.092 ,0.000 ,2.000 ,1.000 ,0.576 ,140.360 
031620-87-8,1.000 ,0.540 ,1.029 ,0.352 ,0.000 ,1.000 ,0.000 ,5.054 ,177.730 
031972-43-7,1.000 ,11.404 ,0.961 ,0.100 ,0.000 ,1.000 ,1.000 ,8.757 ,288.310 
031972-44-8,1.000 ,11.517 ,0.982 ,0.415 ,0.000 ,3.000 ,1.000 ,8.013 ,291.880 
032598-11-1,0.000 ,0.837 ,1.073 ,0.188 ,0.000 ,0.000 ,0.000 ,35.867 ,264.010 
032809-16-8,1.000 ,4.174 ,1.031 ,0.260 ,0.000 ,2.000 ,0.000 ,10.500 ,249.040 
033089-61-1,3.000 ,9.899 ,0.969 ,0.579 ,0.000 ,0.000 ,0.000 ,24.001 ,380.890 
033244-86-9,1.000 ,3.742 ,0.936 ,0.516 ,0.000 ,1.000 ,0.000 ,7.479 ,197.130 
033245-39-5,3.000 ,2.474 ,0.948 ,0.233 ,0.000 ,0.000 ,0.000 ,17.698 ,281.840 
033629-47-9,3.000 ,5.935 ,0.944 ,0.640 ,0.000 ,0.000 ,0.000 ,14.516 ,311.100 
033979-03-2,0.000 ,0.546 ,1.093 ,0.526 ,0.000 ,0.000 ,0.000 ,41.857 ,298.900 
034014-18-1,4.000 ,4.992 ,0.990 ,0.208 ,0.000 ,1.000 ,0.000 ,1.542 ,215.330 
034256-82-1,1.000 ,8.150 ,0.922 ,0.082 ,0.000 ,1.000 ,0.000 ,10.127 ,254.890 
034883-43-7,0.000 ,1.004 ,1.047 ,0.432 ,0.000 ,0.000 ,0.000 ,24.476 ,227.370 
035065-27-1,0.000 ,0.375 ,1.098 ,0.235 ,0.000 ,0.000 ,0.000 ,41.857 ,298.790 
035065-28-2,0.000 ,0.375 ,1.097 ,0.327 ,0.000 ,0.000 ,0.000 ,41.857 ,297.730 
035400-43-2,0.000 ,10.265 ,0.996 ,-0.038 ,0.000 ,0.000 ,0.000 ,10.106 ,331.540 
035554-44-0,2.000 ,6.731 ,0.962 ,0.574 ,0.000 ,0.000 ,0.000 ,9.855 ,273.880 
035693-99-3,0.000 ,1.118 ,1.071 ,0.411 ,0.000 ,0.000 ,0.000 ,35.867 ,260.250 
035694-08-7,0.000 ,0.071 ,1.122 ,0.302 ,0.000 ,0.000 ,0.000 ,48.018 ,337.010 
036455-72-8,0.000 ,14.230 ,0.945 ,1.104 ,1.000 ,1.000 ,0.000 ,8.330 ,318.770 
036627-56-2,2.000 ,4.260 ,0.982 ,0.055 ,0.000 ,1.000 ,0.000 ,4.451 ,206.040 
037680-65-2,0.000 ,1.184 ,1.057 ,0.585 ,0.000 ,0.000 ,0.000 ,29.937 ,241.110 
037680-66-3,0.000 ,1.035 ,1.058 ,0.656 ,0.000 ,0.000 ,0.000 ,29.937 ,241.290 
037680-73-2,0.000 ,0.806 ,1.084 ,0.314 ,0.000 ,0.000 ,0.000 ,38.839 ,279.320 
037924-13-3,1.000 ,4.610 ,0.994 ,1.081 ,0.000 ,4.000 ,0.000 ,6.682 ,307.100 
038379-99-6,0.000 ,1.149 ,1.081 ,0.382 ,0.000 ,0.000 ,0.000 ,38.839 ,278.240 
038380-02-8,0.000 ,0.806 ,1.084 ,0.447 ,0.000 ,0.000 ,0.000 ,38.839 ,278.110 
038411-22-2,0.000 ,1.175 ,1.091 ,0.226 ,0.000 ,0.000 ,0.000 ,41.857 ,297.280 
038727-55-8,1.000 ,9.882 ,0.907 ,-0.036 ,0.000 ,2.000 ,0.000 ,10.158 ,287.930 
039108-81-1,1.000 ,3.901 ,0.925 ,0.106 ,0.000 ,1.000 ,0.000 ,5.947 ,223.830 
039300-45-3,2.000 ,9.558 ,0.963 ,0.256 ,0.000 ,1.000 ,0.000 ,21.937 ,348.980 
040487-42-1,3.000 ,7.335 ,0.951 ,0.349 ,0.000 ,0.000 ,0.000 ,12.577 ,290.300 
041198-08-7,0.000 ,10.030 ,0.992 ,0.189 ,0.000 ,1.000 ,1.000 ,13.968 ,289.330 
041394-05-2,4.000 ,3.180 ,1.005 ,0.166 ,0.000 ,1.000 ,0.000 ,3.843 ,219.670 
041464-51-1,0.000 ,0.806 ,1.084 ,0.346 ,0.000 ,0.000 ,0.000 ,38.839 ,278.450 
041814-78-2,3.000 ,0.000 ,1.049 ,0.743 ,0.000 ,0.000 ,0.000 ,5.727 ,194.590 
042576-02-3,1.000 ,3.030 ,0.952 ,0.023 ,0.000 ,1.000 ,0.000 ,13.824 ,303.750 
042874-03-3,1.000 ,3.611 ,0.992 ,0.461 ,0.000 ,0.000 ,0.000 ,16.979 ,304.960 
043121-43-3,3.000 ,9.376 ,0.944 ,0.337 ,0.000 ,1.000 ,0.000 ,11.052 ,266.940 
051218-45-2,1.000 ,7.751 ,0.922 ,0.145 ,0.000 ,1.000 ,0.000 ,9.155 ,271.600 
051235-04-2,4.000 ,6.321 ,0.955 ,0.349 ,0.000 ,2.000 ,0.000 ,5.234 ,236.210 
051338-27-3,0.000 ,4.778 ,0.969 ,0.162 ,0.000 ,1.000 ,0.000 ,13.399 ,304.120 
051707-55-2,4.000 ,2.065 ,1.031 ,0.501 ,0.000 ,1.000 ,0.000 ,0.193 ,225.130 
052315-07-8,1.000 ,10.091 ,0.983 ,0.999 ,0.000 ,1.000 ,0.000 ,15.264 ,402.670 
052645-53-1,0.000 ,10.159 ,0.995 ,0.964 ,0.000 ,1.000 ,0.000 ,20.970 ,383.810 
053404-31-2,0.000 ,6.624 ,0.979 ,0.518 ,0.000 ,1.000 ,0.000 ,11.581 ,284.520 
053780-34-0,2.000 ,2.745 ,0.973 ,0.618 ,0.000 ,3.000 ,0.000 ,2.068 ,242.030 
054593-83-8,0.000 ,4.671 ,1.000 ,0.295 ,0.000 ,0.000 ,0.000 ,5.740 ,233.600 
055283-68-6,3.000 ,3.355 ,0.935 ,-0.229 ,0.000 ,0.000 ,0.000 ,16.946 ,291.190 
055290-64-7,0.000 ,0.000 ,1.054 ,-0.120 ,0.000 ,4.000 ,0.000 ,0.053 ,163.680 
055335-06-3,1.000 ,0.592 ,1.041 ,0.144 ,1.000 ,1.000 ,0.000 ,4.993 ,184.950 
056070-16-7,0.000 ,7.265 ,0.996 ,0.359 ,0.000 ,2.000 ,0.000 ,1.065 ,282.350 
057018-04-9,0.000 ,3.862 ,1.000 ,0.166 ,0.000 ,0.000 ,0.000 ,9.873 ,249.540 
057057-83-7,0.000 ,0.000 ,1.032 ,-0.106 ,0.000 ,0.000 ,0.000 ,7.488 ,171.820 
057966-95-7,4.000 ,1.351 ,0.962 ,-0.014 ,0.000 ,2.000 ,0.000 ,1.722 ,164.190 
058138-08-2,0.000 ,0.480 ,1.058 ,0.184 ,0.000 ,0.000 ,0.000 ,16.429 ,242.590 
059080-40-9,0.000 ,0.743 ,1.114 ,0.087 ,0.000 ,0.000 ,0.000 ,51.159 ,377.170 
059669-26-0,4.000 ,7.945 ,0.957 ,0.918 ,0.000 ,2.000 ,0.000 ,0.268 ,314.340 
059756-60-4,1.000 ,8.206 ,1.023 ,0.563 ,0.000 ,1.000 ,0.000 ,15.863 ,332.590 
060168-88-9,2.000 ,5.409 ,0.992 ,0.547 ,1.000 ,0.000 ,0.000 ,13.101 ,323.700 
060348-60-9,0.000 ,2.539 ,1.064 ,0.217 ,0.000 ,0.000 ,0.000 ,33.633 ,349.670 
062924-70-3,3.000 ,5.384 ,0.955 ,0.657 ,0.000 ,0.000 ,0.000 ,25.380 ,346.220 
063075-06-9,1.000 ,4.758 ,0.913 ,0.846 ,0.000 ,1.000 ,0.000 ,5.716 ,209.150 
064532-97-4,0.000 ,20.587 ,0.886 ,1.684 ,0.000 ,1.000 ,1.000 ,58.403 ,456.280 
064902-72-3,5.000 ,3.225 ,1.001 ,0.603 ,0.000 ,3.000 ,0.000 ,4.492 ,300.020 
066215-27-8,6.000 ,1.804 ,0.983 ,0.953 ,0.000 ,0.000 ,0.000 ,1.488 ,158.800 
066441-23-4,1.000 ,6.792 ,0.961 ,0.738 ,0.000 ,1.000 ,0.000 ,12.066 ,328.010 
066841-25-6,1.000 ,10.919 ,0.889 ,0.718 ,0.000 ,1.000 ,0.000 ,22.983 ,488.270 
067485-29-4,4.000 ,12.505 ,0.915 ,0.852 ,0.000 ,0.000 ,0.000 ,35.241 ,567.040 
068085-85-8,1.000 ,10.087 ,0.963 ,1.299 ,0.000 ,1.000 ,0.000 ,17.784 ,400.580 
068359-37-5,1.000 ,9.674 ,0.926 ,0.873 ,0.000 ,1.000 ,0.000 ,18.311 ,397.550 
068631-49-2,0.000 ,2.007 ,1.079 ,0.120 ,0.000 ,0.000 ,0.000 ,37.645 ,381.870 
069806-40-2,1.000 ,4.631 ,0.974 ,0.473 ,0.000 ,1.000 ,0.000 ,11.626 ,295.420 
069806-50-4,1.000 ,7.958 ,0.891 ,0.426 ,0.000 ,1.000 ,0.000 ,14.936 ,322.080 
070124-77-5,1.000 ,12.806 ,0.898 ,0.975 ,0.000 ,1.000 ,0.000 ,18.029 ,429.230 
071059-53-5,2.000 ,2.181 ,0.955 ,0.516 ,0.000 ,1.000 ,0.000 ,4.370 ,203.670 
071626-11-4,1.000 ,14.030 ,0.918 ,0.919 ,0.000 ,2.000 ,0.000 ,13.285 ,334.160 
072178-02-0,2.000 ,3.663 ,1.004 ,0.274 ,0.000 ,3.000 ,0.000 ,7.987 ,344.260 
072490-01-8,1.000 ,5.290 ,0.968 ,0.647 ,0.000 ,1.000 ,0.000 ,5.604 ,293.540 
074051-80-2,1.000 ,13.464 ,0.916 ,0.481 ,1.000 ,1.000 ,0.000 ,5.279 ,324.290 
074115-24-5,4.000 ,2.071 ,1.033 ,1.005 ,0.000 ,0.000 ,0.000 ,25.710 ,313.520 
074223-56-6,4.000 ,4.739 ,0.987 ,0.871 ,1.000 ,4.000 ,0.000 ,0.677 ,310.350 
074223-64-6,5.000 ,4.908 ,0.966 ,0.529 ,0.000 ,4.000 ,0.000 ,2.778 ,323.160 
076578-12-6,2.000 ,4.017 ,0.962 ,0.368 ,1.000 ,1.000 ,0.000 ,7.616 ,334.380 
076738-62-0,3.000 ,9.429 ,0.934 ,0.534 ,1.000 ,0.000 ,0.000 ,14.213 ,279.350 
077501-63-4,1.000 ,5.491 ,0.976 ,0.286 ,0.000 ,2.000 ,0.000 ,17.797 ,370.090 
078508-43-7,2.000 ,4.579 ,0.992 ,0.252 ,0.000 ,1.000 ,0.000 ,7.817 ,237.730 
078508-45-9,2.000 ,0.822 ,0.983 ,0.044 ,0.000 ,1.000 ,0.000 ,2.645 ,151.640 
078508-46-0,2.000 ,1.450 ,0.998 ,0.177 ,0.000 ,1.000 ,0.000 ,3.749 ,185.740 
078587-05-0,2.000 ,10.664 ,0.972 ,0.668 ,0.000 ,2.000 ,0.000 ,9.198 ,336.870 
079241-46-6,1.000 ,7.958 ,0.955 ,0.738 ,0.000 ,1.000 ,0.000 ,14.936 ,322.450 
079277-27-3,5.000 ,3.720 ,0.939 ,0.580 ,0.000 ,4.000 ,0.000 ,1.452 ,319.820 
079755-43-4,0.000 ,3.486 ,1.029 ,-0.028 ,0.000 ,0.000 ,0.000 ,20.902 ,321.960 
080045-51-8,1.000 ,3.478 ,0.940 ,0.520 ,0.000 ,1.000 ,0.000 ,9.858 ,196.210 
080045-52-9,1.000 ,4.948 ,0.922 ,0.570 ,0.000 ,1.000 ,0.000 ,12.434 ,247.980 
081334-34-1,3.000 ,5.855 ,0.960 ,0.358 ,1.000 ,2.000 ,0.000 ,1.490 ,246.620 
081335-77-5,3.000 ,7.774 ,0.972 ,0.556 ,1.000 ,2.000 ,0.000 ,3.029 ,281.310 
081405-85-8,2.000 ,10.401 ,0.959 ,0.625 ,0.000 ,2.000 ,0.000 ,7.628 ,284.810 
081777-89-1,1.000 ,5.389 ,0.983 ,-0.010 ,0.000 ,1.000 ,0.000 ,7.164 ,220.740 
082558-50-7,2.000 ,8.403 ,0.868 ,-0.049 ,0.000 ,1.000 ,0.000 ,6.763 ,324.160 
082657-04-3,0.000 ,10.734 ,1.003 ,1.345 ,0.000 ,1.000 ,0.000 ,29.164 ,396.070 
083055-99-6,4.000 ,6.447 ,0.964 ,0.307 ,0.000 ,4.000 ,0.000 ,3.119 ,356.980 
086209-51-0,4.000 ,4.444 ,0.924 ,0.884 ,0.000 ,4.000 ,0.000 ,4.038 ,341.470 
087818-31-3,0.000 ,11.662 ,0.956 ,-0.260 ,0.000 ,0.000 ,0.000 ,11.335 ,282.270 
088671-89-0,4.000 ,4.927 ,0.965 ,0.537 ,0.000 ,0.000 ,0.000 ,11.821 ,260.240 
091465-08-6,1.000 ,10.087 ,0.873 ,1.281 ,0.000 ,1.000 ,0.000 ,17.784 ,397.500 
097383-42-1,0.000 ,2.751 ,0.985 ,0.421 ,0.000 ,3.000 ,0.000 ,2.413 ,209.530 
097780-06-8,6.000 ,7.703 ,0.930 ,0.720 ,0.000 ,4.000 ,0.000 ,2.598 ,356.340 
099387-89-0,3.000 ,8.487 ,0.956 ,0.636 ,0.000 ,0.000 ,0.000 ,14.244 ,293.050 
101200-48-0,5.000 ,7.964 ,0.945 ,0.709 ,0.000 ,4.000 ,0.000 ,3.697 ,342.440 
102851-06-9,2.000 ,14.919 ,0.926 ,1.230 ,0.000 ,1.000 ,0.000 ,23.140 ,461.160 
120162-55-2,10.000 ,6.171 ,0.931 ,1.211 ,0.000 ,3.000 ,0.000 ,1.991 ,352.540 
121552-61-2,3.000 ,6.376 ,1.003 ,0.490 ,0.000 ,0.000 ,0.000 ,9.240 ,268.580 
122931-48-0,5.000 ,6.264 ,0.933 ,0.590 ,0.000 ,5.000 ,0.000 ,0.222 ,361.100 
126535-15-7,6.000 ,9.689 ,0.940 ,0.884 ,0.000 ,4.000 ,0.000 ,6.045 ,392.810 
131341-86-1,2.000 ,0.653 ,1.040 ,0.813 ,0.000 ,0.000 ,0.000 ,2.029 ,215.460 
144740-54-5,5.000 ,7.834 ,0.944 ,0.744 ,0.000 ,3.000 ,0.000 ,3.934 ,361.790 
145348-20-5,0.000 ,4.673 ,1.000 ,0.444 ,0.000 ,3.000 ,0.000 ,4.437 ,244.680 
145348-21-6,0.000 ,5.530 ,0.937 ,0.903 ,0.000 ,3.000 ,0.000 ,5.617 ,259.650 
145348-22-7,0.000 ,2.923 ,0.996 ,0.297 ,0.000 ,3.000 ,0.000 ,4.421 ,229.150 
145348-24-9,0.000 ,5.190 ,0.938 ,0.594 ,0.000 ,3.000 ,0.000 ,8.376 ,276.580 
145348-25-0,0.000 ,3.288 ,0.998 ,0.293 ,0.000 ,3.000 ,0.000 ,5.016 ,242.270 
145348-26-1,1.000 ,2.414 ,0.988 ,0.224 ,0.000 ,3.000 ,0.000 ,2.563 ,237.680 
160790-03-4,1.000 ,6.551 ,0.952 ,0.381 ,0.000 ,3.000 ,0.000 ,5.843 ,288.410 
160790-06-7,0.000 ,4.368 ,0.986 ,0.269 ,0.000 ,3.000 ,0.000 ,6.286 ,259.980 
160790-07-8,0.000 ,5.396 ,0.987 ,0.389 ,0.000 ,3.000 ,0.000 ,7.656 ,276.220 
160790-09-0,0.000 ,3.931 ,0.984 ,0.435 ,0.000 ,3.000 ,0.000 ,5.638 ,246.810 
160790-13-6,0.000 ,7.870 ,0.979 ,0.154 ,0.000 ,3.000 ,0.000 ,6.896 ,277.530 
160790-14-7,0.000 ,6.332 ,0.954 ,0.663 ,0.000 ,3.000 ,0.000 ,5.617 ,262.640 
160790-17-0,0.000 ,3.632 ,0.975 ,0.525 ,0.000 ,3.000 ,0.000 ,3.366 ,226.350 
160790-18-1,0.000 ,4.461 ,0.979 ,0.240 ,0.000 ,3.000 ,0.000 ,4.437 ,242.950 
160790-19-2,0.000 ,6.551 ,0.970 ,0.857 ,0.000 ,3.000 ,0.000 ,5.617 ,259.740 
207122-15-4,0.000 ,2.241 ,1.076 ,0.005 ,0.000 ,0.000 ,0.000 ,37.645 ,382.730 
207122-16-5,0.000 ,1.628 ,1.080 ,-0.342 ,0.000 ,0.000 ,0.000 ,41.760 ,410.320 
KOC-01,3.000 ,1.800 ,0.997 ,0.433 ,0.000 ,0.000 ,0.000 ,5.581 ,186.350 
KOC-03,3.000 ,0.000 ,1.047 ,0.345 ,0.000 ,0.000 ,0.000 ,2.257 ,121.240 
KOC-04,3.000 ,0.000 ,1.065 ,0.259 ,0.000 ,0.000 ,0.000 ,2.810 ,140.540 
KOC-05,3.000 ,0.000 ,1.092 ,0.148 ,0.000 ,0.000 ,0.000 ,5.188 ,159.030 
KOC-07,1.000 ,1.386 ,0.951 ,0.297 ,0.000 ,1.000 ,0.000 ,3.306 ,174.590 
KOC-08,1.000 ,1.831 ,0.946 ,0.407 ,0.000 ,1.000 ,0.000 ,4.451 ,191.170 
KOC-09,1.000 ,0.774 ,0.956 ,0.082 ,0.000 ,1.000 ,0.000 ,0.433 ,148.560 
KOC-11,1.000 ,0.397 ,0.987 ,0.290 ,0.000 ,1.000 ,0.000 ,2.645 ,154.780 
KOC-12,3.000 ,1.903 ,0.995 ,-0.154 ,0.000 ,2.000 ,0.000 ,3.295 ,259.040 
KOC-13,3.000 ,3.227 ,0.954 ,0.175 ,0.000 ,2.000 ,0.000 ,5.808 ,289.970 
KOC-16,3.000 ,3.831 ,0.941 ,0.460 ,0.000 ,2.000 ,0.000 ,7.241 ,306.040 
KOC-17,3.000 ,8.197 ,0.949 ,0.398 ,0.000 ,2.000 ,0.000 ,10.410 ,339.270 